symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector,signal_ts,rank_date,mom_rank_pct,in_top20,in_top30
300014.SZ,cn_stock,C,v1,2016-10-10,25,2.6121739130434825,0,,-0.1638233514821537,,,0.0552742005498481,-0.1846331934597018,False,54.50259770217725,,2016,na,,na,2016-10-10,2016-09-30,0.9742063492063492,True,True
002594.SZ,cn_stock,C,v1,2016-10-10,25,0.2222222222222228,0,,-0.0346466541588492,,,-0.0278569577610779,-0.1425887535630993,False,44.95172359528885,,2016,na,,na,2016-10-10,2016-09-30,0.29017857142857145,False,False
600196.SS,cn_stock,C,v3,2016-10-10,25,0.7733333333333358,2,,0.0010036633713053,,,0.0310823682759313,-0.0050132852057952,False,43.74843084133417,,2016,na,,na,2016-10-10,2016-09-30,0.2222222222222222,False,False
002460.SZ,cn_stock,C,v1,2016-10-10,25,2.5057915057915015,0,,-0.1174069235793597,,,0.0555041628122108,-0.1264569842738205,False,49.76766844853434,,2016,na,,na,2016-10-10,2016-09-30,0.9885912698412699,True,True
300073.SZ,cn_stock,C,v1,2016-10-10,25,1.740659340659342,0,,-0.144728017226164,,,-0.0268273556481901,-0.2234925089768459,False,57.176017668335,,2016,na,,na,2016-10-10,2016-09-30,0.9985119047619048,True,True
601600.SS,cn_stock,C,v1,2016-10-10,25,2.1250000000000147,0,,-0.0307219662058372,,,0.0792393026941362,0.1426307448494455,False,48.22070955763999,,2016,na,,na,2016-10-10,2016-09-30,0.0441468253968254,False,False
002230.SZ,cn_stock,C,v1,2016-10-10,25,0.3026481715006288,1,,-0.028368794326241,,,0.0122735874560693,-0.0684509326845094,False,49.38007833842284,,2016,na,,na,2016-10-10,2016-09-30,0.3263888888888889,False,False
600703.SS,cn_stock,C,v1,2016-10-11,25,0.4375000000000026,2,,0.0807754442649433,,,-0.0184647850171457,0.1274949441660073,False,35.62590646923184,,2016,na,,na,2016-10-11,2016-09-30,0.12946428571428573,False,False
002415.SZ,cn_stock,C,v1,2016-10-11,26,4.22535211267603,0,,-0.0328519855595667,,,0.0497698146074403,0.021525444817718,True,35.8947819240906,,2016,na,,na,2016-10-11,2016-09-30,0.42956349206349204,False,False
600850.SS,cn_stock,C,v1,2016-10-14,25,,2,,0.0441195925386956,,,-0.0089325308837503,-0.0962939499524865,True,46.906707293662905,,2016,na,,na,2016-10-14,2016-09-30,0.1463293650793651,False,False
