exec_date,1m,3m,6m,12m,24m,vol60,dd252
2001-01-02,0.0403,-0.162,-0.065,-0.1209,-0.3108,0.2404,-0.297
2007-03-22,0.032,0.0607,0.0583,-0.0593,-0.4266,0.0991,-0.1864
2024-09-09,0.0568,0.1191,0.0289,0.2105,,0.1078,-0.189
