rank,depth_pct,fall_days,rec_days,episode_days,recovered,peak_date,trough_date,end_date,combo_loss_at_trough,b9_contrib,lei_contrib,b9_contrib_share,lei_contrib_share,b9_ret_peak_to_trough,lei_ret_peak_to_trough,b9_ret_peak_to_end,lei_ret_peak_to_end,hold_ret_peak_to_trough,hold_ret_peak_to_end,b200_mean_pt,b200_min_pt,b200_max_pt,b200_at_trough,b200_mean_full,corr_b9_lei_seg,ep_index
1,28.510877078699615,175,284.0,459,True,2018-01-24,2018-10-18,2019-12-16,-0.32213099999999995,-0.32045520000000005,-0.0016755999999999993,0.9947977686096653,0.005201610524910672,-0.347311551994118,-0.008087684477978474,0.022607344569087084,-0.06670939939916742,-0.34731232945369495,-0.06916435791056419,15.433160795454546,2.1082,27.6684,2.1082,32.33370891304348,-0.022263540410554374,0
2,25.316720730142904,390,157.0,547,True,2022-07-04,2024-02-05,2024-10-08,-0.4957499999999999,-0.47411840000000005,-0.021631199999999986,0.9563659102370149,0.043633282904689846,-0.28789696785394714,-0.06947372477983538,-0.022598032976737903,0.25009860032502784,-0.3867656894506921,-0.1574589069535577,42.52905268542199,4.6483,76.5698,4.6483,35.67843613138686,-0.011582828475695927,1
3,16.014178899056798,184,45.0,229,True,2021-07-21,2022-04-26,2022-07-04,-0.313577,-0.26268320000000006,-0.05089420000000003,0.8376991934995235,0.16230208210423605,-0.16507666783972652,-0.13873655206103153,0.03491126640189024,-0.15124443695708711,-0.27480311220997633,-0.10109765466761644,50.58863297297298,8.5474,73.6684,8.5474,45.49762043478262,0.021310532429510993,2
4,10.047120664231922,48,,70,False,2026-05-11,2026-07-17,2026-08-18,-0.25081200000000026,-0.20611119999999997,-0.044700399999999973,0.8217756726153443,0.17822273256462978,-0.1164988180053863,-0.06147394779409521,-0.05105502288927599,-0.06147394779409521,-0.14584370037842742,-0.08257359667057806,35.324799999999996,15.886,57.456,15.886,30.25149577464788,-0.11451988324540095,3
5,8.611698409134682,19,40.0,59,True,2021-02-25,2021-03-24,2021-05-25,-0.16186600000000007,-0.15529840000000006,-0.006567600000000029,0.9594256977994143,0.04057430220058583,-0.10453980739166657,-0.016666370605715408,0.030295719437845925,-0.03007539403597903,-0.10454033583004763,0.03029536262829957,32.294610000000006,26.7793,35.8089,31.9536,33.031956666666666,,4
