date,equity
2010-06-01,0.9995
2010-06-08,1.030277265061564
2010-06-18,1.0244814166104428
2010-06-25,1.0141416735720856
2010-07-02,0.9165790123712867
2010-07-09,0.9725962522588126
2010-07-16,0.9460605978497596
2010-07-23,0.9989823774996653
2010-07-30,1.0026542567915708
2010-08-06,1.0340741132689675
2010-08-13,1.0185850782124795
2010-08-20,1.0035658322539514
2010-08-27,1.0009662078606232
2010-09-03,1.0294248339441663
2010-09-10,1.025088968009094
2010-09-17,1.032489442163709
2010-09-29,1.0348752756709807
2010-10-13,1.058923425775447
2010-10-20,1.0590125309932485
2010-10-27,1.0609370551916653
2010-11-03,1.0678825465939716
2010-11-10,1.0771544510067674
2010-11-17,1.0593327152016025
2010-11-24,1.0682652280853768
2010-12-01,1.0717746996600295
2010-12-08,1.0816231393175604
2010-12-15,1.0846894234404159
2010-12-22,1.0950193369397356
2010-12-29,1.0954287671541603
2011-01-06,1.101546943145658
2011-01-13,1.105837600213004
2011-01-20,1.1021364062156296
2011-01-27,1.1133213895912333
2011-02-10,1.1401067883749456
2011-02-17,1.161752913840791
2011-02-24,1.1472098643179671
2011-03-03,1.1581800166971778
2011-03-10,1.142552430057096
2011-03-17,1.1331881829820245
2011-03-24,1.1491142218553758
2011-03-31,1.1562029054886962
2011-04-11,1.1556135182368399
2011-04-18,1.1471826149568618
2011-04-25,1.1603753525519642
2011-05-03,1.169355524363664
2011-05-10,1.1725751581590382
2011-05-17,1.1490580285386178
2011-05-24,1.1360388346954522
2011-05-31,1.144243009451484
2011-06-08,1.1153789812270674
2011-06-15,1.097813445963517
2011-06-22,1.082979729368873
2011-06-29,1.1223489751365623
2011-07-06,1.1746953966018019
2011-07-13,1.1776073534024154
2011-07-20,1.192998553623859
2011-07-27,1.1744323548512818
2011-08-03,1.1731607474240904
2011-08-10,1.0754710703138044
2011-08-17,1.137366515701719
2011-08-24,1.1321273429700704
2011-08-31,1.140571966114534
2011-09-07,1.1177065963526451
2011-09-15,1.1079554388576902
2011-09-22,1.057242578423494
2011-09-29,1.0329941661094129
2011-10-13,1.079731088985912
2011-10-20,1.0498374363295562
2011-10-27,1.101990037340911
2011-11-03,1.136589104133335
2011-11-10,1.1390031937110314
2011-11-17,1.1304246735708563
2011-11-24,1.0863766093443479
2011-12-01,1.1158177586691287
2011-12-08,1.083201713656376
2011-12-15,1.0326148227538703
2011-12-22,1.0573812038967212
2011-12-29,1.0320205497009076
2012-01-09,1.022530711363034
2012-01-16,0.9824001925320426
2012-01-30,1.005832592567927
2012-02-06,1.0450322330824628
2012-02-13,1.0696037654480632
2012-02-20,1.0780535318918856
2012-02-27,1.109837536467476
2012-03-05,1.1079362742578758
2012-03-12,1.1300981569299962
2012-03-19,1.141648440948282
2012-03-26,1.1130740458106296
2012-04-05,1.076340349084627
2012-04-12,1.0841618214010966
2012-04-19,1.0892741722227646
2012-04-26,1.062773661009373
2012-05-07,1.092993955249482
2012-05-14,1.0707488077709844
2012-05-21,1.050735071918403
2012-05-28,1.052756277097388
2012-06-04,1.0448297446304213
2012-06-11,1.070391452171682
2012-06-18,1.0986712176520137
2012-06-26,1.0614824571025394
2012-07-03,1.1040047431769442
2012-07-10,1.0685346345500424
2012-07-17,1.0652789499780924
2012-07-24,1.0624497924529464
2012-07-31,1.0560923246169998
2012-08-07,1.1101193177510698
2012-08-14,1.111521372254969
2012-08-21,1.124852950109416
2012-08-28,1.1073916125712784
2012-09-04,1.1021131465032286
2012-09-11,1.143049003569027
2012-09-18,1.1242991189059244
2012-09-25,1.0852995197128685
2012-10-09,1.109578535676091
2012-10-16,1.1091306895157031
2012-10-23,1.0977054539322781
2012-10-30,1.080504295309059
2012-11-06,1.0875379202505218
2012-11-13,1.0488847975908573
2012-11-20,1.0455181050227158
2012-11-27,1.0171637624738599
2012-12-04,1.0073543113323205
2012-12-11,1.048585868881954
2012-12-18,1.0598637149587544
2012-12-25,1.0911511153671491
2013-01-04,1.1155983999403138
2013-01-11,1.1384927092796566
2013-01-18,1.1870940936684218
2013-01-25,1.197218743265215
2013-02-01,1.200092555531801
2013-02-08,1.1976794683010124
2013-02-22,1.1968114696825802
2013-03-01,1.1979191299012413
2013-03-08,1.2108811451482175
2013-03-15,1.214599046009306
2013-03-22,1.2131461350318937
2013-03-29,1.217942235541144
2013-04-09,1.2124213233805858
2013-04-16,1.2092174877788038
2013-04-23,1.2279663758451531
2013-05-03,1.257576675255127
2013-05-10,1.2814143674098637
2013-05-17,1.2965379865403603
2013-05-24,1.289584998640541
2013-05-31,1.28224170786096
2013-06-07,1.2872806882275718
2013-06-19,1.2795259970327884
2013-06-26,1.2614733162881722
2013-07-03,1.3004605720666766
2013-07-10,1.294412839616447
2013-07-17,1.3422558456219036
2013-07-24,1.387900943082286
2013-07-31,1.3482582671218868
2013-08-07,1.3629341162652044
2013-08-14,1.3621906651173339
2013-08-21,1.3453918972991872
2013-08-28,1.357834154358881
2013-09-04,1.3653542317011547
2013-09-11,1.3801897823067064
2013-09-18,1.39501525566483
2013-09-27,1.381337340446728
2013-10-11,1.3861403759904092
2013-10-18,1.4029058036671407
2013-10-25,1.4090473756573045
2013-11-01,1.4098099042563463
2013-11-08,1.4100295963134037
2013-11-15,1.4378748160355972
2013-11-22,1.4464461616161082
2013-11-29,1.446868406384858
2013-12-06,1.446609397438793
2013-12-13,1.4346590727561757
2013-12-20,1.4519922368779097
2013-12-27,1.4611891059300248
2014-01-06,1.4553913567081724
2014-01-13,1.4520463269863926
2014-01-20,1.4626105264960199
2014-01-27,1.4664944935276454
2014-02-10,1.4740492102229086
2014-02-17,1.4898819344489538
2014-02-24,1.4935386299593438
2014-03-03,1.4927951345664576
2014-03-10,1.505499398948799
2014-03-17,1.4981763882277424
2014-03-24,1.4976457483342422
2014-03-31,1.5036699846628772
2014-04-08,1.4955140759210301
2014-04-15,1.4920268250301278
2014-04-22,1.5067838500850188
2014-04-29,1.5087105448819131
2014-05-08,1.5117617005312964
2014-05-15,1.4946205146911664
2014-05-22,1.5127929404231515
2014-05-29,1.552222308888751
2014-06-06,1.5748177067301528
2014-06-13,1.578907329162246
2014-06-20,1.5758165130305417
2014-06-27,1.591162240409076
2014-07-04,1.6076450751956604
2014-07-11,1.5949757856172555
2014-07-18,1.599344697864109
2014-07-25,1.5994046738028078
2014-08-01,1.577843448395149
2014-08-08,1.5805412737736257
2014-08-15,1.590129253826752
2014-08-22,1.6036535276605084
2014-08-29,1.6096864819370909
2014-09-05,1.6114348365344036
2014-09-15,1.6019726723453152
2014-09-22,1.6060983248474139
2014-09-29,1.5995323340066852
2014-10-13,1.5574666973737201
2014-10-20,1.5696397259788952
2014-10-27,1.593338873451049
2014-11-03,1.6160581199935566
2014-11-10,1.6242396975934226
2014-11-17,1.625458811784111
2014-11-24,1.6366181865747276
2014-12-01,1.6303036927758816
2014-12-08,1.6330514571708774
2014-12-15,1.6049160188905167
2014-12-22,1.6406041933712139
2014-12-29,1.6449367219926048
2015-01-07,1.626078336523194
2015-01-14,1.620296049238075
2015-01-21,1.6287316536303382
2015-01-28,1.6168086010557474
2015-02-04,1.6327520939008249
2015-02-11,1.643572401385739
2015-02-25,1.6615152003957165
2015-03-04,1.6554977061448184
2015-03-11,1.632449237186683
2015-03-18,1.6560973591891242
2015-03-25,1.6409364443384384
2015-04-01,1.640446802995123
2015-04-09,1.6529517502245852
2015-04-16,1.6584168733821267
2015-04-23,1.6615930568535386
2015-04-30,1.650806895171293
2015-05-08,1.6629830747882148
2015-05-15,1.6656174687258278
2015-05-22,1.666927818314104
2015-05-29,1.6596406345565915
2015-06-05,1.6539154703919097
2015-06-12,1.6544703895064616
2015-06-19,1.6607695425349809
2015-06-29,1.6401512182468994
2015-07-06,1.6441804065960393
2015-07-13,1.6879508510010948
2015-07-20,1.7515161089704259
2015-07-27,1.726427595174049
2015-08-03,1.7386854680180803
2015-08-10,1.7953461399460167
2015-08-17,1.79463441702716
2015-08-24,1.7032501726443612
2015-08-31,1.7085413626466783
2015-09-09,1.728381132026168
2015-09-16,1.692399613625964
2015-09-23,1.7335228876793791
2015-09-30,1.7288947700871515
2015-10-14,1.854212510637557
2015-10-21,1.8830847824751207
2015-10-28,1.9735385265795429
2015-11-04,2.0195655061698705
2015-11-11,2.0753765454521567
2015-11-18,2.053174267807905
2015-11-25,2.0764378455721184
2015-12-02,2.059768425411943
2015-12-09,2.0552445700477042
2015-12-16,2.0863631002614174
2015-12-23,2.094336831937943
2015-12-30,2.093909955066414
2016-01-07,2.032242924504405
2016-01-14,2.053249097033828
2016-01-21,1.996485953155492
2016-01-28,1.911864580991503
2016-02-04,2.032013966519343
2016-02-18,2.0641406044277875
2016-02-25,2.009966340484781
2016-03-03,2.017616419940087
2016-03-10,1.98152971187602
2016-03-17,2.084498682426872
2016-03-24,2.147915019591253
2016-03-31,2.1701169695356666
2016-04-08,2.1604340745592165
2016-04-15,2.216778869794252
2016-04-22,2.1696892010854096
2016-04-29,2.159042290520468
2016-05-09,2.1135540834677555
2016-05-16,2.1198897825154552
2016-05-23,2.1314150659453515
2016-05-30,2.1375431392928768
2016-06-06,2.2155928316504703
2016-06-15,2.1609797093477123
2016-06-22,2.176780846426452
2016-06-29,2.202827123328104
2016-07-06,2.2354228753299434
2016-07-13,2.2744514371556215
2016-07-20,2.2758658638030442
2016-07-27,2.2493761250068816
2016-08-03,2.2375326672799036
2016-08-10,2.2589825399301127
2016-08-17,2.295785810214992
2016-08-24,2.2810601493408003
2016-08-31,2.2777724350162525
2016-09-07,2.2911010398810143
2016-09-14,2.242014419050574
2016-09-23,2.259660760309229
2016-09-30,2.252198539905074
2016-10-14,2.233843469943515
2016-10-21,2.238137757239896
2016-10-28,2.2304317441476025
2016-11-04,2.2087332793953203
2016-11-11,2.250500829924168
2016-11-18,2.2595786301845187
2016-11-25,2.2758268781193647
2016-12-02,2.2648119640493327
2016-12-09,2.2995337649336776
2016-12-16,2.2988276088398414
2016-12-23,2.2965837777729816
2016-12-30,2.2831982497359435
2017-01-09,2.2978636508195227
2017-01-16,2.3001978581109688
2017-01-23,2.3125652860835224
2017-02-06,2.3262915669446103
2017-02-13,2.351936140922294
2017-02-20,2.3577547742064655
2017-02-27,2.3769764878371102
2017-03-06,2.3909528934227864
2017-03-13,2.3925593636636866
2017-03-20,2.387416640722925
2017-03-27,2.369529755407648
2017-04-05,2.3735983792558635
2017-04-12,2.3456766887093914
2017-04-19,2.318455482141853
2017-04-26,2.327118129230168
2017-05-04,2.3394289264274772
2017-05-11,2.299873366357662
2017-05-18,2.3126871180425934
2017-05-25,2.3137176748251704
2017-06-05,2.313293478119423
2017-06-12,2.3195987544621763
2017-06-19,2.3578287177931276
2017-06-26,2.3541626288185338
2017-07-03,2.3589112850291354
2017-07-10,2.3371846789213477
2017-07-17,2.255583455295
2017-07-24,2.280919153258589
2017-07-31,2.3149728740292224
2017-08-07,2.317434047609658
2017-08-14,2.3510022631211447
2017-08-21,2.3563818796920466
2017-08-28,2.3730404748064315
2017-09-04,2.415021527778592
2017-09-11,2.4288879770586824
2017-09-18,2.435618186384513
2017-09-25,2.399122773485772
2017-10-09,2.452292089789116
2017-10-16,2.454160108999903
2017-10-23,2.4682289944832454
2017-10-30,2.4442152922273186
2017-11-06,2.4492621489592645
2017-11-13,2.4832124498123096
2017-11-20,2.4515584053488486
2017-11-27,2.3947995506910793
2017-12-04,2.437618110784614
2017-12-11,2.460356315598834
2017-12-18,2.44953355481483
2017-12-25,2.4294414715776638
2018-01-02,2.444730611089508
2018-01-09,2.4933439902713133
2018-01-16,2.45317125997905
2018-01-23,2.5080935143956005
2018-01-30,2.511227945612548
2018-02-06,2.3259919915113265
2018-02-13,2.349921880579559
2018-02-27,2.453881117569128
2018-03-06,2.484809709907211
2018-03-13,2.5535743483962268
2018-03-20,2.526072966795461
2018-03-27,2.4651719571341095
2018-04-03,2.4852531763940506
2018-04-12,2.478504630588915
2018-04-19,2.488171913579399
2018-04-26,2.450402967037579
2018-05-07,2.5018381399648244
2018-05-14,2.5141367925117946
2018-05-21,2.537230449065313
2018-05-28,2.4870770796003243
2018-06-04,2.4333725883606476
2018-06-11,2.4389217552790607
2018-06-19,2.3273928302380242
2018-06-26,2.3242197626021253
2018-07-03,2.351711988388259
2018-07-10,2.376431619853032
2018-07-17,2.404656133700346
2018-07-24,2.415324432483253
2018-07-31,2.3625556662445253
2018-08-07,2.317809575419497
2018-08-14,2.341318643344801
2018-08-21,2.3030738690092765
2018-08-28,2.345743092194778
2018-09-04,2.315899323242865
2018-09-11,2.2641938908457826
2018-09-18,2.2562212368706946
2018-09-26,2.292388711330781
2018-10-10,2.1858611653383635
2018-10-17,2.100606148395768
2018-10-24,2.086783737752654
2018-10-31,2.101744175300703
2018-11-07,2.2000363447258926
2018-11-14,2.18838136970439
2018-11-21,2.149597864055533
2018-11-28,2.1699754308933303
2018-12-05,2.1856306689576575
2018-12-12,2.132058957304958
2018-12-19,2.0185175705619773
2018-12-26,2.0002568638635285
2019-01-04,2.0112785724258964
2019-01-11,2.0501344379714177
2019-01-18,2.085986836613672
2019-01-25,2.080420267741964
2019-02-01,2.101987344210413
2019-02-15,2.2003544075087365
2019-02-22,2.2863881572143785
2019-03-01,2.378053408345633
2019-03-08,2.3900076623828173
2019-03-15,2.4244444872792155
2019-03-22,2.415229141903447
2019-03-29,2.4527301373407293
2019-04-08,2.496276600235913
2019-04-15,2.4741530899558555
2019-04-22,2.4866324907992885
2019-04-29,2.486600521240562
2019-05-09,2.455958055377875
2019-05-16,2.458594082554238
2019-05-23,2.427409478042048
2019-05-30,2.4273712458076506
2019-06-06,2.4439186414157237
2019-06-14,2.481309926798747
2019-06-21,2.532522281441173
2019-06-28,2.5243196660002387
2019-07-05,2.5451482045928295
2019-07-12,2.555092711459701
2019-07-19,2.5365838968821617
2019-07-26,2.5658832333160104
2019-08-02,2.5238364880367152
2019-08-09,2.498455497179126
2019-08-16,2.5217435665410095
2019-08-23,2.54165324557439
2019-08-30,2.5734809854206553
2019-09-06,2.66136757543424
2019-09-16,2.6936693084924443
2019-09-23,2.6909019197276636
2019-09-30,2.6828441995845766
2019-10-14,2.7200823908717084
2019-10-21,2.7237470364453507
2019-10-28,2.788187346165453
2019-11-04,2.802298760595205
2019-11-11,2.784280890803611
2019-11-18,2.8079991787806473
2019-11-25,2.796399434296912
2019-12-02,2.7941537361413538
2019-12-09,2.847191014599064
2019-12-16,2.9215604430336595
2019-12-23,2.9004676505364273
2019-12-30,2.9440232387213436
2020-01-07,3.020999357137863
2020-01-14,3.054426459071815
2020-01-21,3.0897213647071826
2020-02-05,3.1465565889019165
2020-02-12,3.285095409805832
2020-02-19,3.3316051024756574
2020-02-26,3.259197508803908
2020-03-04,3.2659137383666623
2020-03-11,3.032665166567091
2020-03-18,2.840883839493174
2020-03-25,2.950950354220698
2020-04-01,2.8955169029449563
2020-04-09,3.1852892552564627
2020-04-16,3.2002224495097362
2020-04-23,3.21679293686231
2020-04-30,3.315126559817089
2020-05-12,3.335451522003652
2020-05-19,3.383053226249476
2020-05-26,3.3985070399719715
2020-06-02,3.4760439479457506
2020-06-09,3.564610763874175
2020-06-16,3.5516925763046263
2020-06-23,3.6026494696661064
2020-07-02,3.618360545169117
