,cn_10y
2024-06-30,2.2058
2024-07-31,2.1494
2024-08-31,2.1704
2024-09-30,2.1518
2024-10-31,2.1476
2024-11-30,2.0206
2024-12-31,1.6752
2025-01-31,1.6299
2025-02-28,1.7152
2025-03-31,1.8129
2025-04-30,1.6243
2025-05-31,1.6712
2025-06-30,1.6469
2025-07-31,1.7044
2025-08-31,1.8379
2025-09-30,1.8605
2025-10-31,1.7954
2025-11-30,1.8412
2025-12-31,1.8473
2026-01-31,1.8112
2026-02-28,1.7753
2026-03-31,1.8171
2026-04-30,1.7473
2026-05-31,1.709
2026-06-30,1.733
2026-07-31,1.7141
2026-08-31,1.6883
2026-09-30,1.6834
