,0
2024-02-06,1155127.23
2024-02-08,1155127.23
2024-02-21,1155127.23
2024-02-28,1155127.23
2024-03-05,1155127.23
2024-03-06,1155127.23
2024-03-07,1155127.23
2024-03-08,1153743.75
2024-03-12,1153743.75
2024-03-13,1153743.75
2024-03-15,1149341.97
2024-03-19,1149745.9
2024-03-25,1146313.25
2024-03-26,1146121.09
2024-03-28,1146121.09
2024-04-19,1148975.01
2024-04-26,1148975.01
2024-04-30,1148975.01
2024-05-10,1500084.21
2024-05-13,1500084.21
2024-05-14,1499574.7
2024-05-15,1488329.85
2024-05-31,1516820.09
2024-06-12,1572789.27
2024-06-13,1572789.27
2024-06-18,1553352.74
2024-07-03,1553352.74
2024-07-05,1553352.74
2024-07-10,1553352.74
2024-07-18,1536844.65
2024-07-19,1536844.65
2024-07-22,1536844.65
2024-07-23,1536844.65
2024-07-24,1531963.08
2024-07-30,1519264.55
2024-07-31,1502219.53
2024-08-01,1502219.53
2024-08-06,1493054.59
2024-08-07,1493054.59
2024-08-09,1489624.95
2024-08-15,1488921.32
2024-08-23,1484290.47
2024-08-29,1483796.2
2024-09-09,1483796.2
2024-09-20,1483796.2
2024-09-25,1483796.2
2024-09-26,1483796.2
2024-10-09,1483796.2
2024-11-14,1543220.67
2024-11-19,1562337.46
2024-11-25,1600056.46
2024-11-29,1600056.46
2024-12-03,1597466.22
2024-12-04,1597466.22
2024-12-06,1596760.47
2024-12-16,1718353.73
2024-12-24,1718353.73
2024-12-26,1718353.73
2025-01-02,1718933.75
2025-01-06,1701645.99
2025-01-08,1701390.5
2025-01-23,1697987.72
2025-02-06,1697987.72
2025-02-18,1697987.72
2025-02-20,1695609.31
2025-02-28,1695609.31
2025-03-03,1690721.08
2025-03-05,1688073.29
2025-03-07,1688073.29
2025-03-12,1681775.12
2025-03-31,1681775.12
2025-04-01,1679869.55
2025-04-08,1668672.8
2025-04-16,1667704.87
2025-04-17,1667704.87
2025-05-07,1664689.91
2025-05-09,1664689.91
2025-05-21,1664689.91
2025-05-22,1663939.75
2025-05-27,1658631.76
2025-05-28,1658631.76
2025-05-30,1658631.76
2025-06-03,1660279.02
2025-06-09,1660279.02
2025-06-11,1656475.37
2025-06-24,1656475.37
2025-06-26,1656475.37
2025-07-01,1656475.37
2025-07-07,1652761.32
2025-07-18,1652761.32
2025-07-21,1652761.32
2025-07-25,1669555.88
2025-07-30,1684770.46
2025-08-01,1682149.39
2025-08-06,1682149.39
2025-08-07,1682149.39
2025-08-11,1682149.39
2025-08-12,1682149.39
2025-08-13,1674799.36
2025-08-18,1674799.36
2025-08-21,1674799.36
2025-08-22,1674799.36
2025-09-01,1674799.36
2025-09-02,1674799.36
2025-09-03,1699695.21
2025-09-04,1734864.32
2025-09-08,1734864.32
2025-09-10,1734864.32
2025-09-11,1734864.32
2025-09-12,1734864.32
2025-09-18,1734864.32
2025-09-19,1734864.32
2025-09-22,1747045.61
2025-09-23,1952529.51
2025-09-29,1960901.3
2025-09-30,2031650.09
2025-10-15,2048710.08
2025-10-20,2106950.61
2025-10-24,2106950.61
2025-11-03,2106950.61
