date,margin_pct
2019-07-11,0.7
2019-07-12,0.7051792828685259
2019-07-15,0.7301587301587301
2019-07-16,0.7470355731225297
2019-07-17,0.7598425196850394
2019-07-18,0.6980392156862745
2019-07-19,0.6875
2019-07-22,0.6614785992217899
2019-07-23,0.6201550387596899
2019-07-24,0.6332046332046332
2019-07-25,0.6307692307692307
2019-07-26,0.6551724137931034
2019-07-29,0.6259541984732825
2019-07-30,0.5893536121673004
2019-07-31,0.5568181818181818
2019-08-01,0.5471698113207547
2019-08-02,0.5225563909774437
2019-08-05,0.5430711610486891
2019-08-06,0.48134328358208955
2019-08-07,0.4423791821561338
2019-08-08,0.45925925925925926
2019-08-09,0.44280442804428044
2019-08-12,0.39338235294117646
2019-08-13,0.4358974358974359
2019-08-14,0.4343065693430657
2019-08-15,0.43636363636363634
2019-08-16,0.47101449275362317
2019-08-19,0.6245487364620939
2019-08-20,0.6726618705035972
2019-08-21,0.6774193548387096
2019-08-22,0.6892857142857143
2019-08-23,0.6797153024911032
2019-08-26,0.6843971631205674
2019-08-27,0.6749116607773852
2019-08-28,0.6936619718309859
2019-08-29,0.7052631578947368
2019-08-30,0.7237762237762237
2019-09-02,0.7456445993031359
2019-09-03,0.7916666666666666
2019-09-04,0.8200692041522492
2019-09-05,0.8413793103448276
2019-09-06,0.8419243986254296
2019-09-09,0.8424657534246576
2019-09-10,0.8430034129692833
2019-09-11,0.8469387755102041
2019-09-12,0.8372881355932204
2019-09-16,0.847972972972973
2019-09-17,0.835016835016835
2019-09-18,0.8322147651006712
2019-09-19,0.8394648829431438
2019-09-20,0.82
2019-09-23,0.8438538205980066
2019-09-24,0.8145695364238411
2019-09-25,0.8118811881188119
2019-09-26,0.805921052631579
2019-09-27,0.7573770491803279
2019-09-30,0.6830065359477124
2019-10-08,0.6938110749185668
2019-10-09,0.711038961038961
2019-10-10,0.7087378640776699
2019-10-11,0.6580645161290323
2019-10-14,0.7331189710610932
2019-10-15,0.6442307692307693
2019-10-16,0.6325878594249201
2019-10-17,0.60828025477707
2019-10-18,0.6253968253968254
2019-10-21,0.5569620253164557
2019-10-22,0.5520504731861199
2019-10-23,0.5440251572327044
2019-10-24,0.542319749216301
2019-10-25,0.584375
2019-10-28,0.6043613707165109
2019-10-29,0.6055900621118012
2019-10-30,0.6377708978328174
2019-10-31,0.6481481481481481
2019-11-01,0.6707692307692308
2019-11-04,0.7668711656441718
2019-11-05,0.7431192660550459
2019-11-06,0.7225609756097561
2019-11-07,0.7173252279635258
2019-11-08,0.7242424242424242
2019-11-11,0.6374622356495468
2019-11-12,0.641566265060241
2019-11-13,0.6546546546546547
2019-11-14,0.6766467065868264
2019-11-15,0.6776119402985075
2019-11-18,0.6785714285714286
2019-11-19,0.685459940652819
2019-11-20,0.6923076923076923
2019-11-21,0.6902654867256637
2019-11-22,0.6529411764705882
2019-11-25,0.6217008797653959
2019-11-26,0.6052631578947368
2019-11-27,0.6151603498542274
2019-11-28,0.6191860465116279
2019-11-29,0.6376811594202898
2019-12-02,0.630057803468208
2019-12-03,0.6311239193083573
2019-12-04,0.6494252873563219
2019-12-05,0.6532951289398281
2019-12-06,0.6742857142857143
2019-12-09,0.7378917378917379
2019-12-10,0.7642045454545454
2019-12-11,0.7535410764872521
2019-12-12,0.731638418079096
2019-12-13,0.7690140845070422
2019-12-16,0.8117977528089888
2019-12-17,0.8319327731092437
2019-12-18,0.8379888268156425
2019-12-19,0.841225626740947
2019-12-20,0.8416666666666667
2019-12-23,0.8421052631578947
2019-12-24,0.8425414364640884
2019-12-25,0.8429752066115702
2019-12-26,0.8598901098901099
2019-12-27,0.8493150684931506
2019-12-30,0.8743169398907104
2019-12-31,0.8719346049046321
2020-01-02,0.8777173913043478
2020-01-03,0.8780487804878049
2020-01-06,0.8810810810810811
2020-01-07,0.8814016172506739
2020-01-08,0.8844086021505376
2020-01-09,0.8847184986595175
2020-01-10,0.8796791443850267
2020-01-13,0.8853333333333333
2020-01-14,0.8803191489361702
2020-01-15,0.8647214854111406
2020-01-16,0.8624338624338624
2020-01-17,0.8522427440633246
2020-01-20,0.8605263157894737
2020-01-21,0.8582677165354331
2020-01-22,0.8612565445026178
2020-01-23,0.7963446475195822
2020-02-03,0.7421875
2020-02-04,0.7298701298701299
2020-02-05,0.6295336787564767
2020-02-06,0.7002583979328165
2020-02-07,0.6391752577319587
2020-02-10,0.6503856041131105
2020-02-11,0.5076923076923077
2020-02-12,0.5294117647058824
2020-02-13,0.5025510204081632
2020-02-14,0.4758269720101781
2020-02-17,0.583756345177665
2020-02-18,0.6430379746835443
2020-02-19,0.5959595959595959
2020-02-20,0.6700251889168766
2020-02-21,0.7160804020100503
2020-02-24,0.7894736842105263
2020-02-25,0.8025
2020-02-26,0.8129675810473815
2020-02-27,0.7960199004975125
2020-02-28,0.8039702233250621
2020-03-02,0.8712871287128713
2020-03-03,0.891358024691358
2020-03-04,0.896551724137931
2020-03-05,0.8968058968058968
2020-03-06,0.8872549019607843
2020-03-09,0.8753056234718827
2020-03-10,0.8878048780487805
2020-03-11,0.8686131386861314
2020-03-12,0.8567961165048543
2020-03-13,0.8450363196125908
2020-03-16,0.7584541062801933
2020-03-17,0.7156626506024096
2020-03-18,0.6322115384615384
2020-03-19,0.5635491606714629
2020-03-20,0.4569377990430622
2020-03-23,0.24105011933174225
2020-03-24,0.14761904761904762
2020-03-25,0.14251781472684086
2020-03-26,0.13744075829383887
2020-03-27,0.24113475177304963
2020-03-30,0.1580188679245283
2020-03-31,0.11058823529411765
2020-04-01,0.08450704225352113
2020-04-02,0.06323185011709602
2020-04-03,0.06542056074766354
2020-04-07,0.07692307692307693
2020-04-08,0.05813953488372093
2020-04-09,0.06960556844547564
2020-04-10,0.05324074074074074
2020-04-13,0.08545034642032333
2020-04-14,0.10599078341013825
2020-04-15,0.10574712643678161
2020-04-16,0.14908256880733944
2020-04-17,0.12814645308924486
2020-04-20,0.1689497716894977
2020-04-21,0.23690205011389523
2020-04-22,0.30454545454545456
2020-04-23,0.2743764172335601
