date,close,position
2019-04-12,3988.62,84.7
2019-04-19,4120.61,84.53
2019-04-26,3889.27,83.83
2019-04-30,3913.21,83.42
2019-05-10,3730.45,82.55
2019-05-17,3648.76,82.02
2019-05-24,3593.91,81.93
2019-05-31,3629.79,81.91
2019-06-06,3564.68,81.79
2019-06-14,3654.88,82.08
2019-06-21,3833.94,82.35
2019-06-28,3825.59,82.36
2019-07-05,3893.2,82.04
2019-07-12,3808.73,81.36
2019-07-19,3807.96,81.48
2019-07-26,3858.57,80.39
2019-08-02,3747.44,79.78
2019-08-09,3633.53,79.24
2019-08-16,3710.54,77.93
2019-08-23,3820.86,78.55
2019-08-30,3799.59,79.66
2019-09-06,3948.51,81.0
2019-09-12,3972.38,83.1
2019-09-20,3935.65,84.21
2019-09-27,3852.65,84.97
2019-09-30,3814.53,85.63
2019-10-11,3911.73,86.14
2019-10-18,3869.38,86.17
2019-10-25,3896.79,85.99
2019-11-01,3952.39,85.72
2019-11-08,3973.01,84.97
2019-11-15,3877.09,84.33
2019-11-22,3849.99,84.59
2019-11-29,3828.67,85.17
2019-12-06,3902.39,86.0
2019-12-13,3968.22,87.72
2019-12-20,4017.25,88.7
2019-12-27,4022.03,89.06
2019-12-31,4096.58,88.6
2020-01-03,4144.96,88.38
2020-01-10,4163.18,88.43
2020-01-17,4154.85,88.68
2020-01-23,4003.9,88.49
2020-02-07,3899.87,88.42
2020-02-14,3987.73,87.44
2020-02-21,4149.49,86.73
2020-02-28,3940.05,86.95
2020-03-06,4138.51,86.65
2020-03-13,3895.31,86.81
2020-03-20,3653.22,87.39
2020-03-27,3710.06,87.78
2020-04-03,3713.22,88.01
2020-04-10,3769.18,88.72
2020-04-17,3839.49,88.86
2020-04-24,3796.97,88.47
2020-04-30,3912.58,88.96
2020-05-08,3963.62,88.9
2020-05-15,3912.82,89.19
2020-05-22,3824.06,90.42
2020-05-29,3867.02,91.05
2020-06-05,4001.25,91.23
2020-06-12,4003.08,91.39
2020-06-19,4098.71,91.33
2020-06-24,4138.99,90.91
2020-07-03,4419.6,90.96
2020-07-10,4753.13,90.57
2020-07-17,4544.7,89.24
2020-07-24,4505.59,88.45
2020-07-31,4695.05,87.41
2020-08-07,4707.93,86.51
2020-08-14,4704.63,86.89
2020-08-21,4718.84,87.32
2020-08-28,4844.27,88.13
2020-09-04,4770.22,89.36
2020-09-11,4627.28,89.62
2020-09-18,4737.09,89.85
2020-09-25,4570.02,90.0
2020-09-30,4587.4,89.89
2020-10-09,4681.14,89.68
2020-10-16,4791.68,89.07
2020-10-23,4718.49,88.3
2020-10-30,4695.33,87.55
2020-11-06,4885.72,86.99
2020-11-13,4856.85,86.81
2020-11-20,4943.29,86.99
2020-11-27,4980.77,87.34
2020-12-04,5065.92,87.45
2020-12-11,4889.63,87.41
2020-12-18,4999.97,86.95
2020-12-25,5042.01,86.77
2020-12-31,5211.29,87.54
2021-01-08,5495.43,88.8
2021-01-15,5458.08,90.16
2021-01-22,5569.78,91.63
2021-01-29,5351.96,92.91
2021-02-05,5483.41,93.63
2021-02-10,5807.72,94.82
2021-02-19,5778.84,94.42
2021-02-26,5336.76,94.47
2021-03-05,5262.8,94.33
2021-03-12,5146.38,93.5
2021-03-19,5007.09,92.54
2021-03-26,5037.99,90.95
2021-04-02,5161.56,90.0
2021-04-09,5035.34,88.77
2021-04-16,4966.18,88.25
2021-04-23,5135.45,88.27
2021-04-30,5123.49,87.64
2021-05-07,4996.05,88.81
2021-05-14,5110.59,88.84
2021-05-21,5134.15,88.94
2021-05-28,5321.09,89.64
2021-06-04,5282.28,90.18
2021-06-11,5224.7,90.81
2021-06-18,5102.47,90.99
2021-06-25,5239.97,90.82
2021-07-02,5081.12,91.01
2021-07-09,5069.44,91.37
2021-07-16,5094.77,91.73
2021-07-23,5089.23,92.1
2021-07-30,4811.17,91.71
2021-08-06,4921.56,91.26
2021-08-13,4945.98,90.84
2021-08-20,4769.27,90.08
2021-08-27,4827.04,89.63
2021-09-03,4843.06,89.55
2021-09-10,5013.52,90.54
2021-09-17,4855.94,89.73
2021-09-24,4849.43,89.94
2021-09-30,4866.38,89.83
2021-10-08,4929.94,90.39
2021-10-15,4932.11,89.23
2021-10-22,4959.73,88.97
2021-10-29,4908.77,88.49
2021-11-05,4842.35,87.26
2021-11-12,4888.37,86.36
2021-11-19,4890.06,85.27
2021-11-26,4860.13,84.66
2021-12-03,4901.02,85.51
2021-12-10,5055.12,86.89
2021-12-17,4954.76,88.74
2021-12-24,4921.34,90.38
2021-12-31,4940.37,91.39
2022-01-07,4822.37,92.5
2022-01-14,4726.73,91.82
2022-01-21,4779.31,91.93
2022-01-28,4563.77,92.42
2022-02-11,4601.4,91.32
2022-02-18,4651.24,90.15
2022-02-25,4573.42,88.72
2022-03-04,4496.43,87.47
2022-03-11,4306.52,87.15
2022-03-18,4265.9,86.07
2022-03-25,4174.57,85.15
2022-04-01,4276.16,84.72
2022-04-08,4230.77,83.42
2022-04-15,4188.75,82.57
2022-04-22,4013.25,82.77
2022-04-29,4016.24,81.76
2022-05-06,3908.82,80.72
2022-05-13,3988.6,80.17
2022-05-20,4077.6,79.1
2022-05-27,4001.3,79.1
2022-06-02,4089.57,82.14
2022-06-10,4238.99,84.68
2022-06-17,4309.04,86.74
2022-06-24,4394.77,88.25
2022-07-01,4466.72,89.52
2022-07-08,4428.78,90.22
2022-07-15,4248.53,90.29
2022-07-22,4238.23,90.25
2022-07-29,4170.1,89.27
2022-08-05,4156.91,87.94
2022-08-12,4191.15,87.59
2022-08-19,4151.07,87.19
2022-08-26,4107.55,87.24
2022-09-02,4023.61,87.7
2022-09-09,4093.79,88.59
2022-09-16,3932.68,89.49
2022-09-23,3856.02,89.94
2022-09-30,3804.89,89.92
2022-10-14,3842.47,88.88
2022-10-21,3742.89,87.96
2022-10-28,3541.33,86.58
2022-11-04,3767.17,85.51
2022-11-11,3788.44,86.0
2022-11-18,3801.57,86.53
2022-11-25,3775.78,87.73
2022-12-02,3870.95,89.01
2022-12-09,3998.24,89.58
2022-12-16,3954.23,90.1
2022-12-23,3828.22,89.67
2022-12-30,3871.63,89.43
2023-01-06,3980.89,89.33
2023-01-13,4074.38,89.54
2023-01-20,4181.53,90.3
2023-02-03,4141.63,91.51
2023-02-10,4106.31,91.7
2023-02-17,4034.51,92.13
2023-02-24,4061.05,91.95
2023-03-03,4130.55,91.49
2023-03-10,3967.14,91.5
2023-03-17,3958.82,91.16
2023-03-24,4027.05,91.38
2023-03-31,4050.93,91.71
2023-04-07,4123.28,92.1
2023-04-14,4092.0,92.58
2023-04-21,4032.57,93.07
2023-04-28,4029.09,93.02
2023-05-05,4016.88,92.62
2023-05-12,3937.76,92.19
2023-05-19,3944.54,91.89
2023-05-26,3850.95,91.5
2023-06-02,3861.83,91.0
2023-06-09,3836.7,90.99
2023-06-16,3963.35,90.99
2023-06-21,3864.03,91.25
2023-06-30,3842.45,91.55
2023-07-07,3825.7,91.14
2023-07-14,3899.1,91.05
2023-07-21,3821.91,91.1
2023-07-28,3992.74,91.16
2023-08-04,4020.58,91.37
2023-08-11,3884.25,91.02
2023-08-18,3784.0,90.6
2023-08-25,3709.15,90.27
2023-09-01,3791.49,89.96
2023-09-08,3739.99,89.81
2023-09-15,3708.78,89.4
2023-09-22,3738.93,89.07
2023-09-28,3689.52,88.43
2023-10-13,3663.41,88.08
2023-10-20,3510.59,88.41
2023-10-27,3562.39,88.47
2023-11-03,3584.14,89.01
2023-11-10,3586.49,89.38
2023-11-17,3568.07,89.61
2023-11-24,3538.01,91.28
2023-12-01,3482.88,92.66
2023-12-08,3399.46,94.07
2023-12-15,3341.55,95.2
2023-12-22,3337.23,94.82
2023-12-29,3431.11,94.54
2024-01-05,3329.11,93.82
2024-01-12,3284.17,93.03
2024-01-19,3269.78,93.0
2024-01-26,3333.82,91.98
2024-02-02,3179.63,90.83
2024-02-08,3364.93,90.83
2024-02-23,3489.74,89.87
2024-03-01,3537.8,90.18
2024-03-08,3544.91,89.85
2024-03-15,3569.99,88.68
2024-03-22,3545.0,88.66
2024-03-29,3537.48,89.44
2024-04-03,3567.8,91.38
2024-04-12,3475.84,92.9
2024-04-19,3541.66,92.51
2024-04-26,3584.27,91.5
2024-04-30,3604.39,89.89
2024-05-10,3666.28,89.32
2024-05-17,3677.97,90.61
2024-05-24,3601.48,91.81
2024-05-31,3579.92,93.88
2024-06-07,3574.11,94.65
2024-06-14,3541.53,94.43
2024-06-21,3495.62,92.96
2024-06-28,3461.66,91.14
2024-07-05,3431.06,89.9
2024-07-12,3472.4,88.61
2024-07-19,3539.02,88.84
2024-07-26,3409.29,88.93
2024-08-02,3384.39,89.23
2024-08-09,3331.63,91.62
2024-08-16,3345.63,93.17
2024-08-23,3327.19,94.35
2024-08-30,3321.43,95.04
2024-09-06,3231.35,94.52
2024-09-13,3159.25,93.87
2024-09-20,3201.05,94.11
2024-09-27,3703.68,93.52
2024-09-30,4017.85,92.05
2024-10-11,3887.17,90.95
2024-10-18,3925.23,89.86
2024-10-25,3956.42,89.63
2024-11-01,3890.02,89.76
2024-11-08,4104.05,90.13
2024-11-15,3968.83,91.27
2024-11-22,3865.7,93.07
2024-11-29,3916.58,95.09
2024-12-06,3973.14,96.69
2024-12-13,3933.18,96.94
2024-12-20,3927.74,96.42
2024-12-27,3981.03,96.03
2024-12-31,3934.91,94.21
2025-01-03,3775.16,93.1
2025-01-10,3732.48,91.82
2025-01-17,3812.34,90.69
2025-01-24,3832.86,90.21
2025-01-27,3817.08,89.41
2025-02-07,3892.7,88.67
2025-02-14,3939.01,88.61
2025-02-21,3978.44,89.16
2025-02-28,3890.05,90.94
2025-03-07,3944.01,93.13
2025-03-14,4006.56,93.4
2025-03-21,3914.7,93.97
2025-03-28,3915.17,92.86
2025-04-03,3861.5,91.32
2025-04-11,3750.52,90.48
2025-04-18,3772.52,89.77
2025-04-25,3786.99,89.8
2025-04-30,3770.57,89.98
2025-05-09,3846.16,90.33
2025-05-16,3889.09,89.76
2025-05-23,3882.27,89.01
2025-05-30,3840.23,88.32
2025-06-06,3873.98,87.94
2025-06-13,3864.18,89.36
2025-06-20,3846.64,90.65
2025-06-27,3921.76,92.06
2025-07-04,3982.2,93.0
2025-07-11,4014.81,94.33
2025-07-18,4058.55,94.46
2025-07-25,4127.16,95.14
2025-08-01,4054.93,95.97
2025-08-08,4104.97,96.53
2025-08-15,4202.35,97.13
2025-08-22,4378.0,96.74
2025-08-29,4496.76,95.46
2025-09-05,4460.32,93.96
2025-09-12,4522.0,92.58
2025-09-19,4501.92,91.52
2025-09-26,4550.05,91.83
2025-09-30,4640.69,92.94
2025-10-10,4616.83,94.1
2025-10-17,4514.23,95.51
2025-10-24,4660.68,96.49
2025-10-31,4640.67,96.1
2025-11-07,4678.79,95.57
2025-11-14,4628.14,94.41
2025-11-21,4453.61,93.9
2025-11-28,4526.66,94.65
2025-12-05,4584.54,95.34
2025-12-12,4580.95,96.26
2025-12-19,4568.18,95.69
2025-12-26,4657.24,94.53
2025-12-31,4629.94,93.83
2026-01-09,4758.92,93.27
2026-01-16,4731.87,92.51
2026-01-23,4702.5,92.64
2026-01-30,4706.34,92.66
2026-02-06,4643.6,92.82
2026-02-13,4660.41,93.6
2026-02-27,4710.65,93.84
2026-03-06,4660.44,94.1
2026-03-13,4669.14,94.44
2026-03-20,4567.02,94.82
2026-03-27,4502.57,95.12
2026-04-03,4440.79,95.16
2026-04-10,4636.57,95.01
2026-04-17,4728.67,95.63
2026-04-24,4769.37,95.43
2026-04-30,4807.31,95.87
2026-05-08,4871.91,96.05
2026-05-15,4859.59,95.67
2026-05-22,4845.1,96.01
2026-05-29,4892.12,96.06
2026-06-05,4816.92,96.28
2026-06-12,4777.32,95.94
2026-06-18,4941.6,96.23
2026-06-26,4868.22,96.22
2026-07-03,4842.17,96.38
2026-07-10,4780.79,96.69
2026-07-17,4529.1,96.48
2026-07-24,4649.19,96.01
2026-07-31,4588.2,95.72
2026-08-07,4694.44,96.17
2026-08-14,4665.88,96.1
2026-08-21,4618.9,96.53
