symbol,module,signal_date,entry_date,entry_price,stop_price,exit_date,exit_price,r_net,risk_budget,shares,deesc_factor,cap,pnl,entry_reason,exit_reason
510300.SS,A,2020-07-21,2020-07-22,4.241,4.094,2020-07-27,4.092,-1.0816326530612286,9963.91,67781.73360288033,1.0,1.0,-10777.3,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C
510300.SS,A,2020-11-18,2020-11-19,4.455,4.443,2020-12-23,4.549,6.999999999999749,13972.93,1164410.8182442766,1.0,1.0,97810.51,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis
510300.SS,A,2020-12-24,2020-12-25,4.563,4.546,2021-02-25,5.062,28.764705882353898,14030.91,825347.6468330725,1.0,1.0,403595.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis
510300.SS,A,2026-06-30,2026-07-01,5.009,4.866,2026-07-03,4.83,-1.3216783216783177,21368.09,149427.21422307266,1.0,0.7,-28241.74,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,structure_stop_C
