signal_date,entry_date,entry,fwd_21,fwd_63,fwd_126,fwd_252
2010-10-11,2010-10-12,1169.77001953125,0.04183723346394297,0.0895132882440084,0.12343453177770569,0.022029988032670422
2010-11-18,2010-11-19,1199.72998046875,0.04573528711497987,0.09644666951832837,0.09805540960347936,0.01326968918380489
2010-12-16,2010-12-17,1243.9100341796875,0.030556880096791916,0.04378931691715615,0.027694889682752244,-0.019494979004644808
2011-01-04,2011-01-05,1276.56005859375,0.02687686826206437,0.04620227624364337,0.06005194318379581,0.0035250985409627233
2011-04-11,2011-04-12,1314.1600341796875,0.026244893572573202,0.0027089063971266203,-0.09026297561334018,0.055860709654892426
2011-04-28,2011-04-29,1363.6099853515625,-0.01350095289522324,-0.05230964632185309,-0.05794913529536616,0.02515385571870965
2011-12-13,2011-12-14,1211.8199462890625,0.06754311802417368,0.15872828157787033,0.10811838832367027,0.18034035479588506
2012-01-13,2012-01-17,1293.6700439453125,0.03830956491215809,0.0750654974242162,0.05410962426440724,0.14475862553779129
2012-02-16,2012-02-17,1361.22998046875,0.03253677901455587,-0.04849291502005704,0.04182250944203658,0.10372241686003902
2012-03-05,2012-03-06,1343.3599853515625,0.04138873882817551,-0.043071094853566194,0.04584024887310578,0.15470169621360852
2012-03-20,2012-03-21,1402.8900146484375,-0.01736414479909676,-0.03364488502259089,0.041457301408095226,0.10606670886819414
2012-06-18,2012-06-19,1357.97998046875,0.01364528900527584,0.07462552267179356,0.05731312629375762,0.17264619259060043
2012-07-19,2012-07-20,1362.6600341796875,0.04070712379593466,0.06948169702329432,0.0969794527610226,0.2372417911421134
2012-08-03,2012-08-06,1394.22998046875,0.006605768823306768,0.024501003893348194,0.08259758848462706,0.2175035713247575
2012-08-20,2012-08-21,1413.1700439453125,0.03332222192372969,-0.015666914780210428,0.05284567979670185,0.1771407178684683
2012-09-07,2012-09-10,1429.0799560546875,0.008676928370261239,-0.0008676842951449437,0.09387160168729491,0.17797470800219672
2013-01-08,2013-01-09,1461.02001953125,0.03895226172051114,0.09058737992406174,0.14647301004722668,0.2581141807163967
2013-03-11,2013-03-12,1552.47998046875,0.026338513322465618,0.04744024099545863,0.08470963324494352,0.2033649223662115
2013-05-13,2013-05-14,1650.3399658203125,-0.00847097007785369,0.02655214638615022,0.07365152110808126,0.14432787692817484
2013-07-19,2013-07-22,1695.530029296875,-0.025466994370394014,0.028881806784296638,0.08744759276999448,0.1698583894261263
2013-08-13,2013-08-14,1685.3900146484375,0.0015426551500483665,0.048831383859230915,0.08570119684515842,0.1600757312655472
2013-11-14,2013-11-15,1798.1800537109375,-0.009554134290102212,0.017000492373371978,0.04151414214037885,0.1352144308776826
2014-05-23,2014-05-27,1911.9100341796875,0.024907027143470817,0.044986431488931444,0.07928718564697146,0.1106589444622259
2014-06-19,2014-06-20,1962.8699951171875,0.010525421566930593,0.024214557976386608,0.05011029033825043,0.08150315758915627
2014-08-29,2014-09-02,2002.280029296875,-0.028028045176525462,0.025550827736787962,0.0480701992686805,-0.04416467847506367
2014-11-06,2014-11-07,2031.9200439453125,0.013730867263797464,0.01804699159033407,0.033072203526132604,0.022963518824830054
2014-11-21,2014-11-24,2069.409912109375,0.006025858207286738,0.01997191464250392,0.024828395115181756,0.009534109387075995
2014-12-23,2014-12-24,2081.8798828125,-0.025135856499886255,-0.010019724698559274,0.009419423081884482,-0.010034148824140554
2015-02-12,2015-02-13,2096.989990234375,-0.010829789862259576,0.012274732046526404,-0.002598940003173733,-0.0960472081972964
2015-03-02,2015-03-03,2107.780029296875,-0.022815515481787285,0.0008635001442642842,-0.06433307731413118,-0.05756296977795827
2015-03-19,2015-03-20,2108.10009765625,-0.00512786779231611,0.0008964909115207753,-0.07118735420875899,-0.026801383891977282
2015-04-09,2015-04-10,2102.06005859375,0.001555626119187803,-0.012102385610841648,-0.042163402763146896,-0.028576761217546265
2015-04-24,2015-04-27,2108.919921875,0.006904035778089179,-0.019574014579071264,-0.016012945385439625,-0.008165303255239342
2015-05-14,2015-05-15,2122.72998046875,-0.01245563102680225,-0.01469331553858888,-0.0361609863109742,-0.02641413127212411
2015-06-23,2015-06-24,2108.580078125,-0.013720216785399697,-0.08053764242635886,-0.03301278815257236,0.002247953626968613
2015-07-16,2015-07-17,2126.639892578125,-0.011379430648475908,-0.04832971843764411,-0.11582117752189636,0.01892657056818625
2015-07-31,2015-08-03,2098.0400390625,-0.08779149112848539,-0.008903515325175637,-0.09294865976569466,0.028116713282904993
2015-10-15,2015-10-16,2033.1099853515625,0.00987647308771411,-0.07465411629987617,0.03329385225800152,0.04593456100324489
2015-10-30,2015-11-02,2104.050048828125,-0.011663239225781608,-0.09102446001126219,-0.025156213213704204,0.003645313417935059
2015-11-20,2015-11-23,2086.590087890625,-0.010687316573361305,-0.06464620794547771,0.001893017317966983,0.05576076211175973
2015-12-23,2015-12-24,2060.989990234375,-0.08638568838573224,-0.002901508739530545,-0.029330540884868972,0.09839933710937765
2016-03-16,2016-03-17,2040.5899658203125,0.026340481414993677,0.018328044850023373,0.05227411960855721,0.1654717703387063
2016-04-01,2016-04-04,2066.1298828125,-0.001335717395095859,0.017820790776838402,0.04943548688222488,0.14167076693149405
2016-04-18,2016-04-19,2100.800048828125,-0.02530942627070676,0.029979045604022092,0.012233411354979351,0.11299022635651856
2016-05-06,2016-05-09,2058.68994140625,0.029353704297972794,0.05935811348473519,0.012867401594375272,0.16429379367235453
2016-05-25,2016-05-26,2090.10009765625,-0.04284965045175537,0.03940953504535072,0.05483941806203685,0.15583941222163178
2016-07-08,2016-07-11,2137.159912109375,0.020859495759959046,0.007757996035324899,0.061642551634963016,0.13493146467588324
2016-07-25,2016-07-26,2169.179931640625,0.002885887737717807,-0.008228848725391091,0.0595571550623577,0.1422888631700241
2016-08-09,2016-08-10,2175.489990234375,-0.021916870155531343,-0.016515788076209015,0.06085071756127136,0.1207635851612543
2016-08-29,2016-08-30,2176.1201171875,-0.011483848790156959,0.013114990618606548,0.09457189566974988,0.12934486864029715
2016-09-21,2016-09-22,2177.179931640625,-0.01654434666045579,0.040419259208258174,0.07661289101743285,0.14929406354465358
2016-10-06,2016-10-07,2153.739990234375,-0.010316923493028929,0.053469737587424904,0.09444961917286188,0.18154001504695394
2016-11-21,2016-11-22,2202.93994140625,0.026337540320873654,0.07462761167216847,0.09629410360489055,0.17891551617478507
2016-12-07,2016-12-08,2246.18994140625,0.0101104365747815,0.05666485587465053,0.08156031143883613,0.18044335927352684
2016-12-22,2016-12-23,2263.7900390625,0.014528685085894999,0.04186785331740661,0.06872980314660015,0.1840762410590302
2017-01-10,2017-01-11,2275.320068359375,0.017922766060020523,0.030593437929566702,0.07581790894588902,0.2163387899045368
2017-01-26,2017-01-27,2294.68994140625,0.030047611194748303,0.03900745288087615,0.07731334549768332,0.2435362084465984
2017-02-10,2017-02-13,2328.25,0.0244862062775153,0.03181362326183823,0.059095925218780154,0.1437517197063245
2017-03-02,2017-03-03,2383.1201171875,-0.0101883363418247,0.02347760432567103,0.03714868777186542,0.14175526520141868
2017-03-17,2017-03-20,2373.469970703125,-0.014872759825845905,0.03370170729848265,0.05494071890268937,0.14471216191598768
2017-04-27,2017-04-28,2384.199951171875,0.01204175888158554,0.036867774634912864,0.07390317707425065,0.11066609473193023
2017-05-12,2017-05-15,2402.320068359375,0.014818946894090246,0.02644111430773255,0.07491923446806337,0.12867972377369985
2017-05-30,2017-05-31,2411.800048828125,0.0032755212637085585,0.01430466842255984,0.08924454178486241,0.12168088761990026
2017-06-23,2017-06-26,2439.070068359375,0.015891306391085713,0.023611393742672293,0.10014883241774064,0.11643371542228764
2017-07-12,2017-07-13,2447.830078125,-0.002659502317502227,0.04387964388102028,0.13061771865866523,0.14440544040520575
2017-08-04,2017-08-07,2480.909912109375,-0.006195256414533334,0.043101192533965715,0.08635137431757944,0.1521780525845453
2017-08-25,2017-08-28,2444.239990234375,0.025693078044313866,0.06430625972433801,0.11029607934070929,0.18544825021597422
2017-09-12,2017-09-13,2498.3701171875,0.02103764133726238,0.06633924617260245,0.09964895081988989,0.16242982241156434
2017-09-27,2017-09-28,2510.06005859375,0.028290163624773212,0.07070746369637959,0.028612791145318894,0.1609204212035047
2017-10-12,2017-10-13,2553.169921875,0.012404253138140975,0.08744032196495932,0.06001166212650788,0.07740186639922952
2017-10-27,2017-10-30,2572.830078125,0.02069316224457962,0.09755015793800759,0.02442440497111864,0.04267666396667691
2017-11-20,2017-11-21,2599.030029296875,0.032912293470361176,0.05704821331801302,0.049530008894732136,0.019584191706134346
2017-12-07,2017-12-08,2651.5,0.036481229669526716,0.04292289594333387,0.051046614239581345,-0.005551563531255854
2017-12-22,2017-12-26,2680.5,0.07176650519958971,-0.028166386868121673,0.007136684503823876,-0.07150528702667414
2018-01-10,2018-01-11,2767.56005859375,-0.04030989616551839,-0.04020147979088784,0.01219485730587877,-0.06682780039319236
2018-08-03,2018-08-06,2850.39990234375,0.01340169682194059,-0.04467437837241517,-0.04167478213292097,0.011780830506410211
2018-09-19,2018-09-20,2930.75,-0.055606916558261554,-0.1580926650601382,-0.04517270070054591,0.020824031151368994
2019-10-25,2019-10-28,3039.419921875,0.03326295814823843,0.0769817881316015,-0.032871375024659644,0.11556810799244044
2019-11-15,2019-11-18,3122.030029296875,0.022136194281518362,0.08046045323543827,-0.0481801649771052,0.15614840197734803
2020-08-05,2020-08-06,3349.159912109375,0.023229720547778943,0.028150351661618833,0.16053881574050854,0.32466652413053376
2020-08-20,2020-08-21,3397.159912109375,-0.02401707480980453,0.05437194887992014,0.14253382755169386,0.31861022178811904
2021-02-05,2021-02-08,3915.590087890625,-0.004285440743342583,0.06968045218380037,0.13197500202172852,0.14513266622426624
2021-03-12,2021-03-15,3968.93994140625,0.039234711822970114,0.07211244442164366,0.1259253217334948,0.05144192779159562
2021-04-09,2021-04-12,4127.990234375,0.005840581472426942,0.06217060454755563,0.0637960834262663,0.08727965191899245
2021-05-07,2021-05-10,4188.43017578125,0.007429902755975881,0.05823659739761622,0.12154902624825059,-0.047079735669723566
2021-06-04,2021-06-07,4226.52001953125,0.031139060662924933,0.0730885349702568,0.07379833877720343,-0.02486439038839694
2021-07-01,2021-07-02,4352.33984375,0.016269423146134665,0.0010799237838123865,0.09508456299099177,-0.11969422652506423
2021-07-23,2021-07-26,4422.2998046875,0.014456318794462186,0.02772315380479129,-0.002751944104309789,-0.11334594622645566
