signal_date,entry_date,entry,fwd_21,fwd_63,fwd_126,fwd_252
2011-02-01,2011-02-02,1304.030029296875,0.013128528279688911,0.03319702462337393,-0.033503878357862615,0.016495026404586
2011-02-25,2011-02-28,1327.219970703125,-0.005861898907950747,0.002923407549960899,-0.11333458295938059,0.03387538162494175
2011-03-03,2011-03-04,1321.1500244140625,0.008871036965179435,-0.015887665932326045,-0.08835482595590949,0.03268359447654379
2011-03-22,2011-03-23,1297.5400390625,0.030704228479221163,-0.008015185736832242,-0.10079074661261811,0.0734004249326965
2011-03-29,2011-03-30,1328.260009765625,0.026613746801106508,-0.015697209456465133,-0.13340757823699168,0.056479920331627964
2011-04-14,2011-04-15,1319.6800537109375,0.007047107161816335,-0.01079057932613614,-0.072062995412281,0.053876676688417335
2011-04-20,2011-04-21,1337.3800048828125,-0.014962097304107913,0.00571267300284406,-0.09121565283538413,0.022102870100878746
2011-05-19,2011-05-20,1333.27001953125,-0.028313844492859785,-0.1573124627133784,-0.08785918301052142,-0.01296063741308029
2011-05-25,2011-05-26,1325.68994140625,-0.034389614340704866,-0.12553457386760214,-0.12363366215926042,-0.005936527744066056
2011-06-29,2011-06-30,1320.6400146484375,-0.025517985876839178,-0.12133510150912086,-0.04363035685582062,0.03143931659703858
2011-07-21,2011-07-22,1345.02001953125,-0.16445857312910295,-0.09637775126052739,-0.021575901555252464,0.004089158466144438
2011-08-17,2011-08-18,1140.6500244140625,0.05561735856608463,0.08439048586797915,0.19338092432689558,0.24329110930250364
2011-09-01,2011-09-02,1173.969970703125,-0.04260758007403842,0.059890849296289295,0.14428820061469283,0.1967426565134287
2011-09-07,2011-09-08,1185.9000244140625,-0.02566832182299894,0.06333584940153236,0.1559743375454572,0.21251371476762526
2011-10-05,2011-10-06,1164.969970703125,0.0757616178830387,0.09686094125028788,0.1864683089965311,0.2540495381431882
2011-10-27,2011-10-28,1285.0899658203125,-0.0699562106974172,0.021259265176765796,0.09394671476691863,0.09888028989337116
2011-11-03,2011-11-04,1253.22998046875,0.004181188062876595,0.0748626108707382,0.08816417733084236,0.11274869818808031
2011-11-10,2011-11-11,1263.8499755859375,-0.03016180389568357,0.06856037194912346,0.052862333255002,0.07250861765135697
2011-11-17,2011-11-18,1215.6500244140625,0.021099842799267465,0.11681816880978801,0.08306665441595484,0.14426849945348774
2011-11-22,2011-11-23,1161.7900390625,0.08912102317191373,0.1771403780702765,0.1343012953979792,0.20412457877080503
2011-12-09,2011-12-12,1236.469970703125,0.04774077065802684,0.12762951170096803,0.06341442658336405,0.14798578599098322
2011-12-14,2011-12-15,1215.75,0.0759120206148467,0.15957228048529704,0.10613204137106713,0.1900391026629653
2012-03-15,2012-03-16,1404.1700439453125,-0.009535892541059687,-0.043677101921844264,0.04386931330115784,0.11005783641272893
2012-03-23,2012-03-26,1416.510009765625,-0.018227946277377338,-0.07256569904473009,0.028506685165955004,0.10778598851263133
2012-03-27,2012-03-28,1405.5400390625,-0.0015510434782004534,-0.0524282919223803,0.01976457906179019,0.11718624611175232
2012-05-21,2012-05-22,1316.6300048828125,0.006744495302309916,0.07332359030591329,0.05650792108500102,0.2528956270693232
2012-06-22,2012-06-25,1313.719970703125,0.018398170450568907,0.10898064057645818,0.08077062670728119,0.22796333095892818
2012-06-26,2012-06-27,1331.8499755859375,0.04063520374611107,0.076187237724342,0.05299401540623894,0.2125689758916054
