symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector
000001.SS,cn_index,A,early,2020-09-21,992,2.598636645321217,1,0.5357142857142857,-0.020291584456705314,0.12704360581410845,0.16499790474464537,-0.018878846165441554,0.012011070444445826,False,13.52597317833421,0.39285714285714285,2020,mid,0.578042328042328,mid
000001.SS,cn_index,A,early,2020-12-02,1038,0.11749639827116473,4,0.34656084656084657,0.05246167740675656,0.11488791713673208,0.15527634556933267,-0.010126457508305875,0.0156868770619647,True,24.92197367715213,0.3134920634920635,2020,mid,0.21031746031746032,mid
000001.SS,cn_index,A,early,2021-01-21,1073,0.016815797593330576,4,0.35714285714285715,0.07064381844414491,0.0945224641248954,0.1626392934835829,-0.009999282017861155,-0.040618458768495014,False,27.99668957055337,0.503968253968254,2021,mid,0.6931216931216931,mid
000001.SS,cn_index,A,early,2021-02-09,1086,0.3018139367816112,1,0.39285714285714285,-0.0013441083711625001,0.26882214932687587,0.164439537620411,-0.04350227140910612,-0.023829676230543106,False,20.025622785337212,0.6177248677248677,2021,mid,0.4576719576719577,mid
000001.SS,cn_index,A,early,2025-09-08,2195,0.7171593278547732,4,0.7301587301587301,0.049153541418212265,0.27353146228414693,0.12414002145144466,0.010031775564173007,0.0216052931400319,False,40.11412129808234,0.8253968253968254,2025,mid,0.6851851851851852,mid
000001.SS,cn_index,A,early,2025-09-25,2208,0.9528282622013399,4,0.4298941798941799,0.0025236757206785754,0.39626350209420225,0.12490164545320923,0.02633846313549415,0.02864557651882782,False,21.71267683532373,0.7513227513227513,2025,mid,0.5767195767195767,mid
000001.SS,cn_index,A,early,2025-10-13,2214,0.1170153260991168,4,0.3505291005291005,0.02019404539266767,0.36994892539615565,0.13146941999992243,0.03319192698290263,0.05046149890731466,True,17.756320974242346,0.6481481481481481,2025,mid,0.4246031746031746,mid
000001.SS,cn_index,A,early,2025-11-11,2235,1.9244966442952567,4,0.5714285714285714,0.035581323750462523,0.18351027412891274,0.14039844373057245,-0.023293927190238817,0.018277388601864786,True,11.771468727164025,0.6044973544973545,2025,mid,0.37037037037037035,mid
000001.SS,cn_index,A,early,2026-02-04,2294,0.6840675920338009,4,0.6402116402116402,0.004021273835776329,0.2593735929587804,0.0994286082622983,0.006557456974306541,0.03421822436741251,False,31.09041148719104,0.41798941798941797,2026,mid,0.6441798941798942,mid
000001.SS,cn_index,A,early,2026-02-25,2303,0.5565512230564421,4,0.75,0.008163066862761692,0.23988113536222966,0.0910155589369258,-0.051935870448467925,-0.00044849212606956623,False,19.710591281073253,0.42592592592592593,2026,mid,0.746031746031746,mid
000001.SS,cn_index,B,ambush,2021-10-19,1249,0.40152785541270164,1,0.2791005291005291,-0.029693959941778703,0.14781524958586245,0.16208099200683462,-0.019860011410600786,0.0011911553929002672,False,20.78170446096286,0.12962962962962962,2021,mid,0.4695767195767196,mid
000001.SS,cn_index,B,breakout,2021-11-19,1272,0.5775931385687499,1,0.16534391534391535,-0.006204990788812648,0.085328003478093,0.13566164558101762,0.02021980861539685,-0.0195934692180868,False,23.497415932741376,0.010582010582010581,2021,mid,0.27380952380952384,mid
000001.SS,cn_index,B,breakout,2022-01-18,1313,1.620478355406217,0,0.1335978835978836,-0.006592275155832605,0.02938209188705132,0.1185422809793834,-0.03158623046519371,-0.13728637416629552,False,20.147257391849386,0.1865079365079365,2022,mid,0.3439153439153439,mid
000001.SS,cn_index,C,v1,2016-09-27,22,1.9376721763085418,0,,-0.0234959987753679,,,0.04144861698969704,0.038853700757462084,False,50.8927555360142,,2016,na,,na
000001.SS,cn_index,C,v3,2016-10-18,32,0.1899782135076229,2,,0.001633726878542463,,,0.03992048977262397,0.017143987444388165,True,30.95093477323848,,2016,na,,na
000001.SS,cn_index,C,v1,2016-12-07,68,2.411297709923672,3,,0.030006041484862633,,0.14638341875854327,-0.017636799245245527,-0.001703783703262296,False,25.896601328947234,,2016,na,,na
000001.SS,cn_index,C,v1,2016-12-30,85,2.4251533742331817,0,,-0.043220380783269285,,0.11963624099876914,0.01718627160366548,0.05370146022090183,False,32.09341464827898,,2016,na,,na
000001.SS,cn_index,C,v1,2017-03-06,125,0.9578136463683182,4,,0.024355554992429473,,0.13361533493745822,0.011268232798473665,-0.04397517525441652,False,16.80472152459851,,2017,na,,na
000001.SS,cn_index,C,v1,2017-03-31,144,2.2779444861214877,0,,0.0013050327656440874,,0.11652877115000007,-0.027047239574120918,-0.009334338760779715,True,13.602195155114975,,2017,na,,na
000001.SS,cn_index,C,v1,2017-04-25,159,6.87585616438352,0,,-0.0412546452767284,,0.1107657557924785,-0.022487932954121326,0.03299017090063394,False,26.268204520957532,,2017,na,,na
000001.SS,cn_index,C,v1,2017-05-12,171,3.160346372051355,0,,-0.05874613853649002,,0.11224359022834356,0.02277599229449545,0.06432928707868624,False,48.41886250448204,,2017,na,,na
000001.SS,cn_index,C,v3,2017-06-07,187,0.023911462961467303,2,,0.02004476046007775,,0.13606956645322554,0.021274901920823375,0.07111058745605536,False,39.38029132253729,,2017,na,,na
000001.SS,cn_index,C,v1,2017-08-14,235,1.859328052444673,0,,0.019172286129842675,,0.14566348264163825,0.042954753255739275,0.06501593891318858,True,17.444582832003718,,2017,na,,na
000001.SS,cn_index,C,v1,2017-09-18,260,1.605818596691373,4,,0.02310680852229008,0.06400182285732892,0.14119391822099447,0.0053050082370362794,-0.028231921638129487,False,21.646950105331275,,2017,na,,na
000001.SS,cn_index,C,v1,2017-11-28,306,3.3004866180049004,0,0.8571428571428571,-0.017587391773297156,0.05669092552478627,0.16891256587301853,-0.008261190403340501,-0.022272817263908173,False,17.89619740045477,0.9686411149825784,2017,mid,0.7038327526132404,mid
000001.SS,cn_index,C,v1,2017-12-18,320,3.9847161572051717,0,0.9102990033222591,-0.03669378611012852,0.04986282834301603,0.17941604333336075,0.0516138705965874,0.006952434576121824,False,28.5021173012701,0.9102990033222591,2017,mid,0.5780730897009967,mid
