lo,hi,vol,gamma,cagr,mdd,calmar,calmar1,calmar2,bench,bench_mdd,ok
20,80,0.1,1.0,0.04822009346948919,-0.2126998940699939,0.22670483067387534,0.25534639357983424,0.27919519076800275,0.09262756913793435,-0.5677538774277282,False
20,80,0.1,1.5,0.047228505958794686,-0.20636369302927782,0.22886053871934803,0.2585508587229743,0.2647468990510222,0.09262756913793435,-0.5677538774277282,False
20,80,0.15,1.0,0.05943052836368534,-0.26776922583929674,0.22194682072746075,0.24423124264064536,0.3093918813905368,0.09262756913793435,-0.5677538774277282,False
20,80,0.15,1.5,0.058515002687960616,-0.2564906262759683,0.22813700265600362,0.252036589976732,0.3114640182566261,0.09262756913793435,-0.5677538774277282,False
25,75,0.1,1.0,0.049451633081083246,-0.20985440319036164,0.23564734563241463,0.2624455250642054,0.2895792619430553,0.09262756913793435,-0.5677538774277282,False
25,75,0.1,1.5,0.04884480262532498,-0.2025268796591,0.2411768882606703,0.26796467625854187,0.2808842270097827,0.09262756913793435,-0.5677538774277282,False
25,75,0.15,1.0,0.06085245874639522,-0.265644960722199,0.22907439531680904,0.2508462260873923,0.27580040317796845,0.09262756913793435,-0.5677538774277282,False
25,75,0.15,1.5,0.059853619224196075,-0.25479988348869653,0.2349044214804412,0.25541203213365193,0.2655102638826527,0.09262756913793435,-0.5677538774277282,False
30,70,0.1,1.0,0.04840176857905831,-0.22013601316407638,0.21987210490172043,0.2401122450254498,0.2894483763273448,0.09262756913793435,-0.5677538774277282,False
30,70,0.1,1.5,0.04789653745160849,-0.21936788032463217,0.2183388806999852,0.23667896698135832,0.2806460773177322,0.09262756913793435,-0.5677538774277282,False
30,70,0.15,1.0,0.05956076563670232,-0.2794132596290445,0.21316370495722559,0.22974890270692885,0.2724359719418817,0.09262756913793435,-0.5677538774277282,False
30,70,0.15,1.5,0.058649906964473475,-0.27830025022761495,0.21074327786807648,0.22464961986601095,0.2628123033277362,0.09262756913793435,-0.5677538774277282,False
35,85,0.1,1.0,0.042413096821604324,-0.17581079100125874,0.24124285306981336,0.2968443879148768,0.2054384427463183,0.09262756913793435,-0.5677538774277282,False
35,85,0.1,1.5,0.04078672936417549,-0.19027325991290134,0.21435870380759675,0.3376147782423046,0.17856828760539126,0.09262756913793435,-0.5677538774277282,False
35,85,0.15,1.0,0.05205239564524833,-0.2167196194208162,0.24018312594105926,0.27024051282064054,0.23402546970759758,0.09262756913793435,-0.5677538774277282,False
35,85,0.15,1.5,0.05072663321753046,-0.21741896582947873,0.2333128254198176,0.3105396388271761,0.201147334176168,0.09262756913793435,-0.5677538774277282,False
40,80,0.1,1.0,0.04239390533675702,-0.17716141588978818,0.23929536306669733,0.27809313017162496,0.2023143239687358,0.09262756913793435,-0.5677538774277282,False
40,80,0.1,1.5,0.04116914519203352,-0.19039082569752785,0.21623492120065996,0.3112597265150693,0.17870052284458054,0.09262756913793435,-0.5677538774277282,False
40,80,0.15,1.0,0.0521126262427265,-0.22882486716197448,0.227740222857153,0.2594054840645484,0.250431132957042,0.09262756913793435,-0.5677538774277282,False
40,80,0.15,1.5,0.050938080239245176,-0.20361346650430556,0.25017048780596274,0.28731630762776933,0.2163671035668835,0.09262756913793435,-0.5677538774277282,False
40,90,0.1,1.0,0.035116464381775625,-0.14607945319367477,0.24039290683281506,0.2670624194391245,0.21574440893875668,0.09262756913793435,-0.5677538774277282,False
40,90,0.1,1.5,0.03151035084544951,-0.15358033995123288,0.2051717743003769,0.2874084200194221,0.1793539547792654,0.09262756913793435,-0.5677538774277282,False
40,90,0.15,1.0,0.043392227503407765,-0.18265320773108074,0.23756619466160098,0.2569329585864595,0.24703467587230374,0.09262756913793435,-0.5677538774277282,False
40,90,0.15,1.5,0.03925644668359407,-0.17205985223374143,0.2281557619279169,0.24865274947949223,0.22300963428666762,0.09262756913793435,-0.5677538774277282,False
45,95,0.1,1.0,0.024034742985142854,-0.1623474451854594,0.1480450952442553,0.23651706395711475,0.10108873161968984,0.09262756913793435,-0.5677538774277282,False
45,95,0.1,1.5,0.019073596366863788,-0.17951900938158938,0.10624833789228721,0.20905235766435887,0.06946264218581319,0.09262756913793435,-0.5677538774277282,False
45,95,0.15,1.0,0.030834844329019395,-0.19792207640652992,0.15579284983694766,0.2379078726949232,0.11409261734020379,0.09262756913793435,-0.5677538774277282,False
45,95,0.15,1.5,0.025215392128329794,-0.18371975558719622,0.13724921442300841,0.2168676298808013,0.09788990835619372,0.09262756913793435,-0.5677538774277282,False
50,90,0.1,1.0,0.02645078345638696,-0.18038091582378113,0.14663848077047922,0.265374669560476,0.10180242942088978,0.09262756913793435,-0.5677538774277282,False
50,90,0.1,1.5,0.022731128511056964,-0.16902999971767696,0.13447984706279195,0.23185784211505764,0.091966265135251,0.09262756913793435,-0.5677538774277282,False
50,90,0.15,1.0,0.03360035246602466,-0.20662007525396164,0.1626190118492875,0.26479104416128185,0.11911868770490411,0.09262756913793435,-0.5677538774277282,False
50,90,0.15,1.5,0.029439584603269342,-0.19651887666556156,0.14980537800126967,0.23292204162992863,0.10918170563176811,0.09262756913793435,-0.5677538774277282,False
60,95,0.1,1.0,0.013361649643038875,-0.14261981829478876,0.09368718739650156,0.14023342030255426,0.06130586246828675,0.09262756913793435,-0.5677538774277282,False
60,95,0.1,1.5,0.010449316257192143,-0.15920171228786373,0.06563570270084787,0.10688917531327692,0.043853601079873177,0.09262756913793435,-0.5677538774277282,False
60,95,0.15,1.0,0.018310065443264634,-0.16167082301648483,0.11325522504080801,0.15989523076544418,0.08434271207679918,0.09262756913793435,-0.5677538774277282,False
60,95,0.15,1.5,0.015385947984078108,-0.15761860682922457,0.09761504871533574,0.13080028148992787,0.07432750951213389,0.09262756913793435,-0.5677538774277282,False
preq,,0.1,1.0,0.04822009346948919,-0.2126998940699939,0.22670483067387534,0.25534639357983424,0.11646403522582414,0.09262756913793435,-0.5677538774277282,False
preq,,0.1,1.5,0.047228505958794686,-0.20636369302927782,0.22886053871934803,0.2585508587229743,0.10535683817499435,0.09262756913793435,-0.5677538774277282,False
preq,,0.15,1.0,0.05943052836368534,-0.26776922583929674,0.22194682072746075,0.24423124264064536,0.14344629937060613,0.09262756913793435,-0.5677538774277282,False
preq,,0.15,1.5,0.058515002687960616,-0.2564906262759683,0.22813700265600362,0.252036589976732,0.13667331856564327,0.09262756913793435,-0.5677538774277282,False
