symbol,strategy,indicator,gate,params,full_cagr,full_bh_cagr,full_excess,full_mdd,full_bh_mdd,full_calmar,full_sharpe,full_n_trades,full_avg_weight,h1_cagr,h1_bh_cagr,h1_excess,h1_mdd,h1_bh_mdd,h1_calmar,h1_sharpe,h1_n_trades,h1_avg_weight,h2_cagr,h2_bh_cagr,h2_excess,h2_mdd,h2_bh_mdd,h2_calmar,h2_sharpe,h2_n_trades,h2_avg_weight,score
000300,reversal,b20,off,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 3.0, 'batch_mode': 'time', 'batches': 3, 'gate_cap': 0.0}",0.027710747300043304,0.0558792460949884,-0.028168498794945096,-0.48958223870006856,-0.723038445845489,0.056600801886972994,0.24905334411958346,581.0,0.5205089569730453,0.021292206947137293,0.04403576496043171,-0.022743558013294418,-0.48958223870006856,-0.723038445845489,0.04349056249195649,0.20608726629301896,300.0,0.5121405393308716,0.0341465998539201,0.06916853140854928,-0.03502193155462918,-0.35903436587719817,-0.46696138837984813,0.09510677277505905,0.3129954856568,281.0,0.528835448675128,0.005739221477822142
000300,reversal,b20,ma200,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 3.0, 'batch_mode': 'time', 'batches': 3, 'gate_cap': 0.0}",0.04223807076056674,0.0558792460949884,-0.013641175334421662,-0.20447845668490405,-0.723038445845489,0.20656489414752624,0.4372821524046444,346.0,0.2568781740052459,0.0495620733051898,0.04403576496043171,0.005526308344758091,-0.20447845668490405,-0.723038445845489,0.2423828608094576,0.47748642119599216,162.0,0.22177464473536984,0.03501580518393954,0.06916853140854928,-0.03415272622460974,-0.13313851476518734,-0.46696138837984813,0.2630028226294693,0.39357693340425703,184.0,0.29180583389000225,0.0744412524583575
000300,reversal,b20,off,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 3.0, 'batch_mode': 'time', 'batches': 5, 'gate_cap': 0.0}",0.03170717055225558,0.0558792460949884,-0.024172075542732818,-0.48853115984031303,-0.723038445845489,0.06490306690492323,0.27619556546514984,871.0,0.5062447681232212,0.02347716651116971,0.04403576496043171,-0.020558598449262,-0.48853115984031303,-0.723038445845489,0.04805664088825722,0.21836424214968342,434.0,0.49472977509231286,0.03997245616404799,0.06916853140854928,-0.029196075244501296,-0.3732065648689543,-0.46696138837984813,0.10710544756382753,0.3639693462052595,437.0,0.5177020708082832,0.011457981436329603
000300,reversal,b20,ma200,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 3.0, 'batch_mode': 'time', 'batches': 5, 'gate_cap': 0.0}",0.04620715460342484,0.0558792460949884,-0.009672091491563561,-0.20968637176763127,-0.723038445845489,0.22036317484013862,0.48241218816952797,484.0,0.2512305374183828,0.05226481297166763,0.04403576496043171,0.008229048011235918,-0.20968637176763127,-0.723038445845489,0.2492523120653071,0.5034866958537874,219.0,0.21577710641154751,0.04023016598899054,0.06916853140854928,-0.028938365419558743,-0.13453565290652902,-0.46696138837984813,0.2990297747835003,0.4615705717208502,265.0,0.2865063460253841,0.08234201504111732
000300,reversal,b20,off,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 3.0, 'batch_mode': 'band', 'batches': 3, 'gate_cap': 0.0}",0.057190984735692396,0.0558792460949884,0.0013117386407039966,-0.3450636960574822,-0.723038445845489,0.1657403702247636,0.48170648437256935,486.0,0.47011551983927674,0.08311337177866962,0.04403576496043171,0.03907760681823791,-0.28469312547065584,-0.723038445845489,0.2919402133130762,0.6149969491248151,245.0,0.4384021483719369,0.032033464379278564,0.06916853140854928,-0.03713506702927072,-0.3450636960574819,-0.46696138837984813,0.09283348189124573,0.3238880012812749,241.0,0.5016700066800267,0.06708319127432784
000300,reversal,b20,ma200,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 3.0, 'batch_mode': 'band', 'batches': 3, 'gate_cap': 0.0}",0.06743698621489402,0.0558792460949884,0.011557740119905624,-0.1836805317711917,-0.723038445845489,0.36714280802986426,0.6885507023773175,316.0,0.2551481667503767,0.10075287261691068,0.04403576496043171,0.05671710765647897,-0.1836805317711917,-0.723038445845489,0.5485223264837732,0.8823592432527024,143.0,0.2280407295513036,0.03531147995647754,0.06916853140854928,-0.03385705145207174,-0.17684442362853636,-0.46696138837984813,0.1996753939533298,0.44609312141439655,173.0,0.2821197951458473,0.1537917672838891
000300,reversal,b20,off,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 3.0, 'batch_mode': 'band', 'batches': 5, 'gate_cap': 0.0}",0.03222095810731562,0.0558792460949884,-0.023658287987672777,-0.37938295488707996,-0.723038445845489,0.08492990444682975,0.36244587347189966,586.0,0.33326636531056425,0.0667372951407248,0.04403576496043171,0.022701530180293084,-0.2899709976123489,-0.723038445845489,0.2301516209905355,0.621816462650739,295.0,0.3043303121852971,-0.0009790793361510453,0.06916853140854928,-0.07014761074470033,-0.27021119776956215,-0.46696138837984813,-0.003623385500796345,0.032609529734190845,290.0,0.3620574482297929,0.019776988986128237
000300,reversal,b20,ma200,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 3.0, 'batch_mode': 'band', 'batches': 5, 'gate_cap': 0.0}",0.044064982848567524,0.0558792460949884,-0.011814263246420875,-0.20272207880849868,-0.723038445845489,0.2173664709219635,0.5757345155209322,379.0,0.1797086891009543,0.08894269137341348,0.04403576496043171,0.044906926412981774,-0.18156849649158624,-0.723038445845489,0.4898575088302008,0.9411886692469702,161.0,0.15723397113125212,0.0012623689189201759,0.06916853140854928,-0.06790616248962911,-0.16887181410576346,-0.46696138837984813,0.00747530856824669,0.05150153038073396,218.0,0.20207080828323312,0.07985803042093288
000300,reversal,b20,off,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 5.0, 'batch_mode': 'time', 'batches': 3, 'gate_cap': 0.0}",0.02442037812829101,0.0558792460949884,-0.03145886796669739,-0.5142913882494236,-0.723038445845489,0.04748354471074187,0.22907783374346868,577.0,0.5177186226909984,0.012144894314939148,0.04403576496043171,-0.031890870645492564,-0.5142913882494236,-0.723038445845489,0.023614811743744496,0.15771708672346219,296.0,0.5129237999328634,0.03679045770133915,0.06916853140854928,-0.03237807370721013,-0.3975525375040009,-0.46696138837984813,0.0925423792596693,0.3307234845896317,281.0,0.5224894232910265,0.00011809710427831618
000300,reversal,b20,ma200,"{'strategy': 'reversal', 'indicator': 'b20', 'low_extreme': 30.0, 'high_extreme': 70.0, 'confirm': 5.0, 'batch_mode': 'time', 'batches': 3, 'gate_cap': 0.0}",0.0393505764368145,0.0558792460949884,-0.0165286696581739,-0.20447845668490439,-0.723038445845489,0.19244362988054356,0.40761945116047843,345.0,0.2538646129806351,0.04350211037103935,0.04403576496043171,-0.0005336545893923628,-0.20447845668490439,-0.723038445845489,0.21274666816404475,0.4238493084057684,162.0,0.21852970795568988,0.03524959151319962,0.06916853140854928,-0.033918939895349665,-0.17484916892089553,-0.46696138837984813,0.20159999461677214,0.39110844170354,183.0,0.289022489423291,0.0670602501573131
