module,rr,exit_v,zone,n,exp_r,pf,e1,e2,e2020,e2022,passed
B·breakout,3,a6_2_top_plus_keywave,低+中,0,,,,,,,False
B·breakout,3,a6_3_structure_stop,关,0,,,,,,,False
B·breakout,3,a6_3_structure_stop,低+中,0,,,,,,,False
B·breakout,3,b3_dual,关,0,,,,,,,False
B·breakout,3,b3_dual,低+中,0,,,,,,,False
B·breakout,5,a6_1_costbasis,关,0,,,,,,,False
B·breakout,5,a6_1_costbasis,低+中,0,,,,,,,False
B·breakout,5,a6_2_top_plus_keywave,关,0,,,,,,,False
B·breakout,5,a6_2_top_plus_keywave,低+中,0,,,,,,,False
B·breakout,5,a6_3_structure_stop,关,0,,,,,,,False
B·breakout,5,a6_3_structure_stop,低+中,0,,,,,,,False
B·breakout,5,b3_dual,关,0,,,,,,,False
B·breakout,5,b3_dual,低+中,0,,,,,,,False
C·v1,无,a6_1_costbasis,关,256,-0.711274139746225,0.37571031970125884,-1.3925219643132696,0.06080672809642484,0.16020778098441643,0.03079391336692657,False
C·v1,无,a6_1_costbasis,低+中,90,-0.3324040896707736,0.5493411020267849,-0.8197933231037168,0.4334932771524227,0.16020778098441643,-0.002210310832212884,False
C·v1,无,a6_2_top_plus_keywave,关,256,-0.449610139748272,0.6246963576134167,-1.0932001831211131,0.27979190940761334,0.16020778098441643,-0.09726387483330079,False
C·v1,无,a6_2_top_plus_keywave,低+中,90,-0.2543097077780878,0.7236795539599491,-0.6046435036295552,0.29621482855993303,0.16020778098441643,-0.05125380868204895,False
C·v1,无,a6_3_structure_stop,关,256,-1.9070574606085,0.00375403082785779,-2.487956095115506,-1.2487056748338916,0.0,-1.3140154008533789,False
C·v1,无,a6_3_structure_stop,低+中,90,-1.6878429293156028,0.0,-1.9152564724923515,-1.3304787900378539,0.0,-1.3219524207603888,False
C·v1,无,b3_dual,关,256,-0.6718589600940017,0.39113506564631884,-1.358174157460203,0.10596493025435899,0.16020778098441643,0.03079391336692657,False
C·v1,无,b3_dual,低+中,90,-0.31341175052350356,0.5696171314950683,-0.7887149499536386,0.4334932771524227,0.16020778098441643,-0.002210310832212884,False
C·v1,2,a6_1_costbasis,关,150,-1.1751513364203598,0.16467520528336002,-1.770545580182772,-0.4173768443591089,0.16020778098441643,0.09831768364029747,False
C·v1,2,a6_1_costbasis,低+中,62,-0.4253538740359626,0.4546987090228566,-0.8348696373302344,0.18072945563956033,0.16020778098441643,0.09831768364029747,False
C·v1,2,a6_2_top_plus_keywave,关,150,-0.9341642231756803,0.39976450453178336,-1.5085851998994424,-0.20308298007271094,0.16020778098441643,-0.47744551717821765,False
C·v1,2,a6_2_top_plus_keywave,低+中,62,-0.5211256905405228,0.49648446034531435,-0.6683312550968885,-0.3032614549971008,0.16020778098441643,-0.47744551717821765,False
C·v1,2,a6_3_structure_stop,关,150,-2.2793881720200053,0.005351739670482442,-2.8848267292198537,-1.5088300083111017,0.0,-1.6124336148361158,False
C·v1,2,a6_3_structure_stop,低+中,62,-1.8443705452083352,0.0,-2.0159237476654375,-1.5904718055718234,0.0,-1.6124336148361158,False
