lo,hi,vol,gamma,cagr,mdd,calmar,calmar1,calmar2,bench,bench_mdd,ok
20,80,0.1,1.0,0.056259932869716645,-0.17045542626836874,0.330056567287801,0.462772186446157,0.2863077005066862,0.11396096715647652,-0.7793238628593402,False
20,80,0.1,1.5,0.0548230484798109,-0.17978335095116083,0.30493951853586204,0.46111389239619816,0.2582949871156411,0.11396096715647652,-0.7793238628593402,False
20,80,0.15,1.0,0.07368595051853166,-0.18764756986896536,0.39268267939726953,0.5008890267330945,0.3529400994769099,0.11396096715647652,-0.7793238628593402,False
20,80,0.15,1.5,0.07113408835158141,-0.18746923874100152,0.3794440561518301,0.4857613556947442,0.3391396033395677,0.11396096715647652,-0.7793238628593402,False
25,75,0.1,1.0,0.057393512769378985,-0.180660778911495,0.3176866230466981,0.4752637651310636,0.273208076737338,0.11396096715647652,-0.7793238628593402,False
25,75,0.1,1.5,0.0562306387071303,-0.18214280630379953,0.30871731828564297,0.4730608821381544,0.26142909854108176,0.11396096715647652,-0.7793238628593402,False
25,75,0.15,1.0,0.07427561738510935,-0.206369189979839,0.35991621323108175,0.47082364351246725,0.32429763720714444,0.11396096715647652,-0.7793238628593402,False
25,75,0.15,1.5,0.07239997158507117,-0.20611970724529516,0.35125205907124024,0.4809474635685169,0.3127241144221926,0.11396096715647652,-0.7793238628593402,False
30,70,0.1,1.0,0.0581296941337337,-0.17849533939465934,0.3256650528292335,0.47886081875960446,0.28197551310059,0.11396096715647652,-0.7793238628593402,False
30,70,0.1,1.5,0.0572769757382352,-0.17951113448181777,0.3190719946346094,0.4772188749127232,0.27370034372491286,0.11396096715647652,-0.7793238628593402,False
30,70,0.15,1.0,0.07517101498242207,-0.20608334836354836,0.36476025636876824,0.4700154455411541,0.32920226327063895,0.11396096715647652,-0.7793238628593402,False
30,70,0.15,1.5,0.07388109280281907,-0.20501213505800908,0.36037424214871033,0.49716117497881734,0.32237363006532177,0.11396096715647652,-0.7793238628593402,False
35,85,0.1,1.0,0.0529892713839506,-0.1860567185387464,0.28480170885587,0.41686039274138686,0.24983173515549353,0.11396096715647652,-0.7793238628593402,False
35,85,0.1,1.5,0.051933596304043705,-0.1999286687901295,0.25976062671912153,0.4039179698284141,0.22675037604285198,0.11396096715647652,-0.7793238628593402,False
35,85,0.15,1.0,0.06826017438844789,-0.1888437314483381,0.3614638085412001,0.4541584667275683,0.33165201332253497,0.11396096715647652,-0.7793238628593402,False
35,85,0.15,1.5,0.06610064224312029,-0.21164966180430111,0.3123115892537514,0.43509689788171885,0.28467772549359494,0.11396096715647652,-0.7793238628593402,False
40,80,0.1,1.0,0.054871898240518746,-0.18012924294868027,0.30462515326371536,0.43851916453879125,0.2607945880719754,0.11396096715647652,-0.7793238628593402,False
40,80,0.1,1.5,0.05401747947092628,-0.19281856890646543,0.2801466672907923,0.4242051530208241,0.24050106814223307,0.11396096715647652,-0.7793238628593402,False
40,80,0.15,1.0,0.0708368665367416,-0.17480601127687523,0.4052312962198027,0.4773589833522432,0.3634242113872596,0.11396096715647652,-0.7793238628593402,False
40,80,0.15,1.5,0.06982481007296237,-0.1941802167210871,0.3595876616682121,0.4598885234626022,0.32441001097778654,0.11396096715647652,-0.7793238628593402,False
40,90,0.1,1.0,0.04368640882670749,-0.16335087054855846,0.2674390940189147,0.3351545869773525,0.23902655902763714,0.11396096715647652,-0.7793238628593402,False
40,90,0.1,1.5,0.04034578645198361,-0.16302312304033428,0.2474850542643664,0.29130016575224155,0.2259599635773745,0.11396096715647652,-0.7793238628593402,False
40,90,0.15,1.0,0.05651823309702508,-0.17244149680521625,0.32775308811466686,0.3510314003789279,0.3122970789881553,0.11396096715647652,-0.7793238628593402,False
40,90,0.15,1.5,0.05209394046441185,-0.17690701100100992,0.29447075143966145,0.30879979647662453,0.2843961641343186,0.11396096715647652,-0.7793238628593402,False
45,95,0.1,1.0,0.036810922939632285,-0.17532393300750504,0.20995948646701035,0.3467047835656651,0.1543869414418092,0.11396096715647652,-0.7793238628593402,False
45,95,0.1,1.5,0.03327619473031995,-0.15736558049073723,0.2114578971243247,0.3092283567577411,0.15635678212786955,0.11396096715647652,-0.7793238628593402,False
45,95,0.15,1.0,0.04657993516436054,-0.18938509196940945,0.24595354724058427,0.32846301103704495,0.19633515255244408,0.11396096715647652,-0.7793238628593402,False
45,95,0.15,1.5,0.04129856426197498,-0.19291844946841052,0.2140726528529218,0.28239185525441557,0.1943165472350965,0.11396096715647652,-0.7793238628593402,False
50,90,0.1,1.0,0.03685754036824562,-0.19382818789082557,0.19015572899544295,0.3673994154284339,0.14426271279420197,0.11396096715647652,-0.7793238628593402,False
50,90,0.1,1.5,0.03334816836862187,-0.17895578271332735,0.1863486491634804,0.33307493663375015,0.1416128165340515,0.11396096715647652,-0.7793238628593402,False
50,90,0.15,1.0,0.04689726236139946,-0.2114418065016721,0.22179749188355802,0.33325087058167246,0.1806830575195115,0.11396096715647652,-0.7793238628593402,False
50,90,0.15,1.5,0.04235612440876779,-0.19425337427059397,0.2180457588848157,0.295877649461902,0.1786883486273127,0.11396096715647652,-0.7793238628593402,False
60,95,0.1,1.0,0.02099375468183795,-0.19119543056064991,0.10980259632919644,0.17654351117792821,0.1208684662849418,0.11396096715647652,-0.7793238628593402,False
60,95,0.1,1.5,0.017686783274143858,-0.20680122502454457,0.08552552467735465,0.15833392309944566,0.1174757799604714,0.11396096715647652,-0.7793238628593402,False
60,95,0.15,1.0,0.025579904455371505,-0.22799578101224427,0.1121946394876393,0.15789114490101974,0.14379804011558814,0.11396096715647652,-0.7793238628593402,False
60,95,0.15,1.5,0.021381475136594386,-0.24872884064324352,0.08596299118871478,0.1388875231367484,0.1230389252686956,0.11396096715647652,-0.7793238628593402,False
preq,,0.1,1.0,0.056259932869716645,-0.17045542626836874,0.330056567287801,0.462772186446157,0.1875646143416169,0.11396096715647652,-0.7793238628593402,False
preq,,0.1,1.5,0.0548230484798109,-0.17978335095116083,0.30493951853586204,0.46111389239619816,0.18023925022947246,0.11396096715647652,-0.7793238628593402,False
preq,,0.15,1.0,0.07368595051853166,-0.18764756986896536,0.39268267939726953,0.5008890267330945,0.2353342857942071,0.11396096715647652,-0.7793238628593402,False
preq,,0.15,1.5,0.07113408835158141,-0.18746923874100152,0.3794440561518301,0.4857613556947442,0.22369335486334146,0.11396096715647652,-0.7793238628593402,False
