exec_date,1m,3m,6m,12m,dd252
1967-05-01,-0.0524,0.0079,0.0101,0.0487,-0.1011
1971-05-19,-0.0184,-0.0221,-0.0805,0.0578,-0.1103
1972-09-22,0.0177,0.0682,0.0294,0.0037,-0.1639
