arm,final,cagr,max_dd,n_signals,n_hedge_episodes,hedge_pnl_sum
v1_hedge0,1072666.0,0.0136,-0.276,10,0,0
v3_hedge0,1242528.0,0.0428,-0.1738,3,0,0
