exec_date,1m,3m,6m,12m,24m
1987-10-20,0.09104241409151159,0.07806810412696485,0.13805210904318854,0.24135789528779616,0.515862469399029
1990-08-24,0.0039080707893324185,0.026183835761242946,0.19605292999959656,0.28369053788101506,0.3510389155277487
1990-09-25,0.023374631205957952,0.08001048623417018,0.23191251987024475,0.2692660325438918,0.36561260498098114
2001-09-21,0.10701449279674913,0.1578301330078422,0.14964350902747392,-0.15320857373668095,0.04518866908652397
2002-07-22,0.10577283886621025,0.04320798865346265,0.04701800614844087,0.1655538996522603,0.2938095135244101
2002-10-10,0.15188729979076632,0.19415262843422942,0.11784846912364144,0.33639740144059194,0.4442555637729211
2008-10-07,-0.09912061126571892,-0.14272877709574916,-0.21978064278285225,-1.8929209258833346e-05,0.0949887342349407
2009-02-24,0.09291114720833149,0.22242814339577555,0.3771770037556754,0.4841611766116567,0.7556298864330886
2011-08-09,0.05862193039846475,0.12576883060162647,0.2050739441669125,0.25172508783989067,0.5081456488034553
2011-10-04,0.12800930805283395,0.16391171810214944,0.2747716507055289,0.32218287631958176,0.5273276667076379
2018-12-26,0.1187963228897837,0.19140788524837427,0.2377364572377869,0.37103056613364127,0.5670215117972919
2020-03-12,0.049706092323842155,0.14110974171035395,0.26923888198620594,0.4988786658652564,0.5980743509444086
2022-06-15,0.01774685457461489,0.03647667991844883,0.06144180245511133,0.1715013845585962,0.45774623450199514
2022-09-26,0.047896700841219,0.044016406065569225,0.0783524273155729,0.16069367196791973,0.5581336532572247
