arm,final,cagr,max_dd,n_signals,n_hedge_episodes,hedge_pnl_sum
v1_hedge0,3669691.0,0.0542,-0.723,50,0,0
v3_hedge0,3925885.0,0.0571,-0.7211,22,0,0
