,S0_bh,S1_dca,v1_hedge0,v1_hedge50,v1_hedge100,v3_hedge50
1992-12-31,1850323.947157817,1427782.7809119055,1507450.5053246545,1503342.773386822,1499235.0414489892,1623799.2330722965
1993-01-31,1863361.3072857808,1437842.9210986262,1517961.8897721586,1513854.1578343261,1509746.4258964933,1634370.1872271476
1993-02-28,1882896.093307057,1452916.7308241175,1533711.830247373,1529604.0983095407,1525496.3663717078,1650209.385149802
1993-03-31,1918101.1646472523,1480082.3494378286,1562095.953699242,1557988.2217614097,1553880.4898235768,1678754.3659973622
1993-04-30,1869349.1514774377,1442463.3773407687,1522789.595050872,1518681.8631130396,1514574.1311752067,1639225.251888638
1993-05-31,1911816.021263429,1475232.4854381927,1557028.5506539468,1552920.8187161144,1548813.0867782815,1673658.2451634707
1993-06-30,1913259.8792843204,1476346.6231130993,1558192.6626057716,1554084.9306679391,1549977.1987301062,1674828.9543250762
1993-07-31,1903067.856455403,1468482.0571703939,1549975.3341588336,1545867.6022210012,1541759.8702831683,1666565.0569553475
1993-08-31,1968594.205431523,1519044.7669639073,1602806.017577018,1598698.2856391855,1594590.5537013526,1719695.140358937
1993-09-30,1948932.0239848327,1503872.653914259,1586953.3644145543,1582845.632476722,1578737.900538889,1703752.6476597046
1993-10-31,1986727.5121746447,1533037.14012029,1617426.0140034908,1613318.2820656584,1609210.5501278255,1734397.9906580744
1993-11-30,1961077.6161348992,1513244.6708318808,1596745.7600513138,1592638.0281134814,1588530.2961756485,1713600.5383785078
1993-12-31,1980867.1930070033,1528515.087205686,1612701.1259010267,1608593.3939631942,1604485.6620253613,1729646.3258543187
1994-01-31,2045246.8535557967,1578192.9670784047,1664607.290644968,1660499.5587071355,1656391.8267693026,1781846.6511875477
1994-02-28,1983797.4173901249,1530776.1636646788,1615063.6221967589,1610955.8902589264,1606848.1583210935,1732022.2107967746
1994-03-31,1893045.6077946362,1460748.4956576433,1541894.835736672,1537787.1037988395,1533679.3718610066,1658438.8159002857
1994-04-30,1914873.6410719643,1477591.8652213423,1559583.7916375455,1555476.059699713,1551368.3277618801,1676137.4248825049
1994-05-31,1938612.6057305012,1495909.7846473965,1578821.3241097631,1574713.5921719307,1570605.8602340978,1695385.4555133977
1994-06-30,1886675.5773267373,1455833.1294430296,1536732.703784504,1532624.9718466715,1528517.2399088386,1653273.8669090609
1994-07-31,1946086.8162843883,1501677.1796736254,1584878.2592079367,1580770.5272701043,1576662.7953322714,1701445.6959557382
1994-08-31,2019257.1499825462,1558138.2889233225,1644173.8810165788,1640066.1490787463,1635958.4171409134,1760773.676116335
1994-09-30,1964984.4955799934,1516259.37277495,1600192.520985062,1596084.7890472296,1591977.0571093967,1716768.314914345
1994-10-31,2005922.6202610177,1547848.8409824898,1633367.8727424394,1629260.140804607,1625152.408866774,1749961.7708702388
1994-11-30,1926679.425688526,1486701.673272291,1569150.9386546095,1565043.206716777,1560935.4747789442,1685709.7928096622
1994-12-31,1950375.8820057244,1504986.7915891656,1588354.0233061828,1584246.2913683504,1580138.5594305175,1704923.35682131
1995-01-31,1997726.5454959858,1541524.4271204986,1626725.9548363723,1622618.2228985399,1618510.490960707,1743316.2283876736
1995-02-28,2069792.8287067572,1597133.6075619622,1685126.8785228522,1681019.1465850198,1676911.4146471869,1801749.022178311
1995-03-31,2126358.6007667603,1640781.9835451609,1730966.5304399822,1726858.7985021498,1722751.0665643169,1847613.6893587096
1995-04-30,2185812.3480657497,1686658.834884936,1779146.5336840593,1775038.8017462268,1770931.069808394,1895819.9850246317
1995-05-31,2265182.9380636555,1747904.3059192917,1843466.7062099788,1839358.9742721464,1835251.2423343135,1960175.2578617865
