exec_date,1m,3m,6m,12m,24m
2022-01-28,-0.062266658911071415,-0.14334709951505986,-0.10459712913712549,-0.13083258470295,-0.2371790314554022
2022-03-16,0.027948977325997326,0.06722508697046692,-0.03086526362537312,-0.01158619328415289,-0.12435419802126768
2022-04-22,0.006513409961685923,0.07027122403710417,-0.11557269610808629,0.015295422464206565,-0.08202510586811851
2022-09-27,-0.04325103340990155,0.00716948442666232,0.07263395307577625,-0.0532430470829095,0.01221882015676079
2023-10-24,0.017996645374752873,-0.07549630072147417,0.035220692982859125,0.19069091493957058,0.3111041542208537
2024-01-19,0.07161386466497421,0.11120616697943109,0.05545130073223681,0.2019538580417266,0.4494088138254162
2024-06-25,-0.016399244926852186,-0.035465992932699475,0.14556739833561627,0.14855143360305711,0.3605128972478966
2025-01-06,0.038101266158014235,-0.004462405885608756,0.061231624024427944,0.24970669943511514,
2025-04-08,0.08132874188088368,0.11451671627769966,0.28023980055531017,0.3339753584640315,
2026-03-24,0.07343050207337676,0.09179597704371711,,,
