exec_date,1m,3m,6m,12m,24m
2002-01-08,-0.05873379571970283,0.029339823038970758,0.06202299967355507,-0.06915296036091512,0.05146149883114148
2002-06-03,0.1750684859253595,0.12302907231652216,-0.05427200532723242,0.033207020343039684,-0.08113068532077128
2002-09-27,-0.015495639566538988,-0.16499643760519966,-0.008286845896090078,-0.10331100484423472,-0.19673208613217263
2002-12-31,0.07866507315331694,0.12632368677858108,0.14158136567960034,0.1636900042676921,-0.1347920202312165
2003-07-01,0.005396646968932606,-0.06904548143966538,-0.016832633996571866,-0.10403234367375225,-0.26430815035232924
2003-09-16,-0.005937660599664052,0.0033835870161316173,0.18309051526408204,-0.030790296934766648,-0.2250309558547091
2003-10-31,0.051177698793739346,0.22619751227266227,0.08604042579413584,-0.024208877697984188,-0.2082102018950771
2004-04-30,-0.05118655825509,-0.10983851192204697,-0.16529135611267054,-0.2879335656438551,0.13183864098344777
2004-07-13,-0.0006790484121033113,-0.02316217571527812,-0.08275373453623669,-0.19353339804842595,0.1513440649972626
2004-08-20,0.0866765576116102,0.016451162909145056,-0.030671675647430896,-0.10597521856127312,0.2974206515762161
2004-12-20,-0.04177147595586572,-0.05367985868454972,-0.1484872292007018,-0.06731406526625938,1.373842969843655
2005-01-31,0.05863416806017918,-0.09372065211201253,-0.012210792257075886,0.07826586662663026,1.720719414776581
2005-03-31,-0.002623955980009529,-0.09110465016772784,-0.01867255425480918,0.1965656448962827,2.7123928168001648
2005-05-10,0.0002539912516579257,0.020164696762053236,-0.029033408684071338,0.44470444804940246,3.0611875968341646
2005-07-11,0.1136534254406747,0.0938530523486536,0.17407738496627734,0.6400891315167276,4.638806105532765
2005-11-11,0.031695697155550207,0.20621303939406954,0.5455034189830485,0.9179757576742786,4.960795196587171
2006-08-07,0.0869031559285538,0.23609958102551443,0.9434684407144616,2.960660338811565,0.8937071134863084
2007-07-06,0.3372712466656944,0.6163749762266819,0.5959061848721243,-0.2194687342133086,0.067722045633968
2007-10-26,-0.09073857286279863,-0.038201776818018285,-0.23172908260877811,-0.6874891553484496,-0.3123394139152508
2008-02-04,-0.054170910049651355,-0.17971477651374312,-0.4767784193787048,-0.5007353777388188,-0.2897352086424029
2008-03-18,-0.13713575226695396,-0.2934604203451324,-0.508484357443686,-0.3669887155498144,-0.13903645216274674
2008-06-11,-0.05773710108199048,-0.32618618270355326,-0.37882908531617965,-0.02282930965483221,-0.2038351136253096
2008-08-11,-0.17081135977331618,-0.24658879256377897,-0.09128015489542807,0.24180858630787982,0.1324084572283566
2009-08-18,0.047425859322057784,0.178352002180854,0.054957906688766656,-0.06291108004994361,-0.1255100125116212
2009-09-30,0.16373012850069157,0.18334469324886893,0.13322374355993016,0.12885986541841254,-0.08372591864964019
2010-05-11,-0.04601734711547212,-0.022673664033795893,0.07942400307234943,0.021275333595077273,-0.13441734231492608
2010-06-30,0.11856759966916885,0.14095390747915215,0.23426763138420603,0.2072884731386071,-0.08761434514666655
2010-12-29,-0.0043256758848077,0.08999917375098687,0.016968269414884496,-0.20142114830251723,-0.1531750913464186
2011-05-26,0.008309906205150597,-0.06689432987123212,-0.13378766354991223,-0.1617607504119255,-0.2824972953372211
2011-09-06,-0.02388342915715469,-0.09167155775696367,-0.035830276172771014,-0.17652393970266322,-0.11231898536118967
2011-12-06,-0.08924018824322744,0.06601435203519301,0.021077166045604168,-0.05841806346131517,-0.10859969050243246
2012-07-31,-0.05223541453954461,-0.012883834100309799,0.17593785223216218,-0.014009265337317056,-0.010956479616857084
2012-09-27,0.055246925440209704,0.15480529770302343,0.12630717967579197,0.09812745081893715,0.14966486795083633
2012-11-16,0.08092628902069898,0.18974510746920203,0.20315586448298273,0.12001583915312586,0.534862350543112
2013-06-25,0.04804075202243374,0.13878128825336566,0.07335559746194531,0.014089120818544743,0.8626548365767297
2014-04-29,0.010331177705533046,0.08789208086719857,0.17745347315631976,1.2242279258981275,0.44218480678294214
2015-06-30,-0.05543962642274203,-0.23604835009866465,-0.16630373892081052,-0.23016620496617812,-0.10035839365239729
2015-08-24,-0.04909370062739582,0.032366718211496615,-0.1044138854940575,-0.04066580250437246,0.109042788770213
2016-01-08,-0.12609141927434364,-0.028482406355403334,-0.028350135577547397,-0.012628597001486663,0.26223749366449667
2016-03-11,0.0763276474526573,0.028683231367387263,0.10963429373282318,0.15776931015639684,0.29170688117974164
2017-01-17,0.05571061229428853,0.04095292836398845,0.12094264278799605,0.32541747337850935,0.010014823330106504
2017-04-25,0.016899220825898897,0.08100283219341531,0.16978865325527215,0.13155783474320626,0.06973824091265013
2017-11-28,-0.010658355076562764,-0.003993102979867658,-0.04879646701234397,-0.220475355001703,-0.016635243713384984
2018-02-07,-0.026053459833556003,-0.07196669691899427,-0.22089089260693195,-0.1253870605793943,-0.04215860383090997
2018-06-20,-0.04835684491350711,-0.11037428755345857,-0.15909726191246143,0.0807713756168893,0.25362638863405396
2018-08-07,0.004006722721819678,-0.024303960542822245,0.048939734470144325,0.15304603164890862,0.4745564583517885
2018-10-12,0.026179718586194722,-0.009154849310296753,0.30374319805645955,0.24762340188744725,0.5948628597554184
2019-05-07,-0.02840449605727957,-0.007178846684706031,0.07312953742383721,0.06860231004471307,0.4428136714109683
2022-01-28,-0.062267897852003595,-0.14334719142128494,-0.10459768530147917,-0.13083397999144308,-0.23717990423571478
2022-03-16,0.027950217845653436,0.06722436338219206,-0.03086502451580886,-0.011584962518803588,-0.12435496887690134
2022-04-22,0.006514162878522356,0.07026967621008451,-0.1155723857771801,0.015293650285516103,-0.08202506451650315
2022-09-27,-0.043252085225317316,0.007170786996799405,0.07263423211185849,-0.05324228051057356,0.012219083476389114
2023-10-24,0.017994327013548306,-0.07549678840955332,0.035220652519814655,0.19068811096903748,0.31110207354662767
2024-01-19,0.07161327336021661,0.11120712097457441,0.055452850895012507,0.2019548398630091,0.44941048478814327
2024-06-25,-0.016401811137025102,-0.035467668441642286,0.14556603787158306,0.1485500688456518,0.36051151528056957
